level,instance,scenario_seed,algorithm_seed,event_index,event_time,event_type,event_size,strategy,budget,oracle_status,reference_cost,reused_legs,computed_legs,warm_start_fe,routing_fe,total_fe,response_time,fitness,distance,total_late,obstacle_violation,is_feasible,gap_to_reference,route_disruption
Mild,1,3101,7810,1,90,cancel,1,Restart,500,FEASIBLE,3341.27440164087,256,50,0,480,480,0.0461968,15202.4625690875,5577.49470476324,96.2496786432425,0,0,3.54989945202396,0.375
Mild,1,3101,8310,1,90,cancel,1,Restart,1000,FEASIBLE,3341.27440164087,256,50,0,990,990,0.0872543,9689.19551708922,4751.53638523247,49.3765913185675,0,0,1.89985028237458,0.5
Mild,1,3101,8810,1,90,cancel,1,Restart,1500,FEASIBLE,3341.27440164087,256,50,0,1500,1500,0.1220433,7651.75944343269,4829.06912816644,28.2269031526624,0,0,1.29007214722472,0.5625
Mild,1,3101,9810,1,90,cancel,1,Restart,2500,FEASIBLE,3341.27440164087,256,50,0,2490,2490,0.1984759,15903.3606301412,5042.70920448018,108.60651425661,0,0,3.75966913173345,0.5
Mild,1,3101,7810,1,90,cancel,1,WarmStart,500,FEASIBLE,3341.27440164087,256,50,49,450,499,0.0583265,8532.28302198672,4106.23425486704,44.2604876711968,0,0,1.55360140962879,0.1875
Mild,1,3101,8310,1,90,cancel,1,WarmStart,1000,FEASIBLE,3341.27440164087,256,50,49,930,979,0.0805484,7077.28592206659,3944.56791043147,31.3271801163513,0,0,1.11813968903332,0.125
Mild,1,3101,8810,1,90,cancel,1,WarmStart,1500,FEASIBLE,3341.27440164087,256,50,49,1440,1489,0.1281032,7067.91700268995,4076.57292830638,29.9134407438357,0,0,1.11533569323698,0.125
Mild,1,3101,9810,1,90,cancel,1,WarmStart,2500,FEASIBLE,3341.27440164087,256,50,49,2430,2479,0.1973503,5645.90026773217,3911.30398875318,17.3459627897899,0,0,0.689744567210498,0.1875
Mild,1,3101,7810,1,90,cancel,1,Repair,500,FEASIBLE,3341.27440164087,256,50,0,1,1,0.0036704,10920.3665815025,4357.25897798898,65.6310760351348,0,0,2.26832377973493,0
Mild,1,3101,8310,1,90,cancel,1,Repair,1000,FEASIBLE,3341.27440164087,256,50,0,1,1,0.0003583,10920.3665815025,4357.25897798898,65.6310760351348,0,0,2.26832377973493,0
Mild,1,3101,8810,1,90,cancel,1,Repair,1500,FEASIBLE,3341.27440164087,256,50,0,1,1,0.0003207,10920.3665815025,4357.25897798898,65.6310760351348,0,0,2.26832377973493,0
Mild,1,3101,9810,1,90,cancel,1,Repair,2500,FEASIBLE,3341.27440164087,256,50,0,1,1,0.0004494,10920.3665815025,4357.25897798898,65.6310760351348,0,0,2.26832377973493,0
Mild,1,3101,7820,2,150,add,1,Restart,500,UNKNOWN,NaN,169,71,0,480,480,0.0355233,7016.05803552648,3613.84972283665,34.0220831268983,0,0,NaN,0.538461538461538
Mild,1,3101,8320,2,150,add,1,Restart,1000,UNKNOWN,NaN,169,71,0,990,990,0.0722825,11866.1842950105,4039.86999898155,78.2631429602898,0,0,NaN,0.769230769230769
Mild,1,3101,8820,2,150,add,1,Restart,1500,UNKNOWN,NaN,169,71,0,1500,1500,0.1045954,9597.267756851,4009.31718323629,55.8795057361471,0,0,NaN,0.615384615384615
Mild,1,3101,9820,2,150,add,1,Restart,2500,UNKNOWN,NaN,169,71,0,2490,2490,0.1723506,15137.0293324156,4150.21366542702,109.868156669886,0,0,NaN,0.615384615384615
Mild,1,3101,7820,2,150,add,1,WarmStart,500,UNKNOWN,NaN,169,71,74,420,494,0.0423901,9440.79977148165,3537.37325831134,59.0342651317031,0,0,NaN,0.153846153846154
Mild,1,3101,8320,2,150,add,1,WarmStart,1000,UNKNOWN,NaN,169,71,73,900,973,0.0674364,5885.20603664624,3234.9527604263,26.5025327621994,0,0,NaN,0.153846153846154
Mild,1,3101,8820,2,150,add,1,WarmStart,1500,UNKNOWN,NaN,169,71,71,1410,1481,0.1076324,5885.20603664624,3234.9527604263,26.5025327621994,0,0,NaN,0.153846153846154
Mild,1,3101,9820,2,150,add,1,WarmStart,2500,UNKNOWN,NaN,169,71,72,2400,2472,0.1669226,5885.20603664624,3234.9527604263,26.5025327621994,0,0,NaN,0.153846153846154
Mild,1,3101,7820,2,150,add,1,Repair,500,UNKNOWN,NaN,169,71,0,15,15,0.0062354,12329.9360848984,3635.25696542326,86.9467911947511,0,0,NaN,0
Mild,1,3101,8320,2,150,add,1,Repair,1000,UNKNOWN,NaN,169,71,0,15,15,0.0021683,12329.9360848984,3635.25696542326,86.9467911947511,0,0,NaN,0
Mild,1,3101,8820,2,150,add,1,Repair,1500,UNKNOWN,NaN,169,71,0,15,15,0.0014464,12329.9360848984,3635.25696542326,86.9467911947511,0,0,NaN,0
Mild,1,3101,9820,2,150,add,1,Repair,2500,UNKNOWN,NaN,169,71,0,15,15,0.0012292,12329.9360848984,3635.25696542326,86.9467911947511,0,0,NaN,0
Mild,2,3102,7910,1,90,cancel,1,Restart,500,FEASIBLE,3029.86877584629,225,47,0,480,480,0.0353225,3704.02855485342,3704.02855485342,0,0,1,0.222504612866882,0.8
Mild,2,3102,8410,1,90,cancel,1,Restart,1000,FEASIBLE,3029.86877584629,225,47,0,990,990,0.0719671,6278.20433544673,4652.2971816893,16.2590715375744,0,0,1.07210437148161,0.533333333333333
Mild,2,3102,8910,1,90,cancel,1,Restart,1500,FEASIBLE,3029.86877584629,225,47,0,1500,1500,0.1097757,3693.04900100077,3693.04900100077,0,0,1,0.218880840794581,0.266666666666667
Mild,2,3102,9910,1,90,cancel,1,Restart,2500,FEASIBLE,3029.86877584629,225,47,0,2490,2490,0.18035,8459.97296586783,4121.68668770388,43.3828627816395,0,0,1.79219121082392,0.6
Mild,2,3102,7910,1,90,cancel,1,WarmStart,500,FEASIBLE,3029.86877584629,225,47,46,450,496,0.0387625,3591.6260388496,3591.6260388496,0,0,1,0.185406466273909,0.0666666666666667
Mild,2,3102,8410,1,90,cancel,1,WarmStart,1000,FEASIBLE,3029.86877584629,225,47,41,930,971,0.0702357,3591.6260388496,3591.6260388496,0,0,1,0.185406466273909,0.0666666666666667
Mild,2,3102,8910,1,90,cancel,1,WarmStart,1500,FEASIBLE,3029.86877584629,225,47,47,1440,1487,0.1157838,3591.6260388496,3591.6260388496,0,0,1,0.185406466273909,0.0666666666666667
Mild,2,3102,9910,1,90,cancel,1,WarmStart,2500,FEASIBLE,3029.86877584629,225,47,43,2430,2473,0.1768957,3591.6260388496,3591.6260388496,0,0,1,0.185406466273909,0.0666666666666667
Mild,2,3102,7910,1,90,cancel,1,Repair,500,FEASIBLE,3029.86877584629,225,47,0,1,1,0.0011716,3850.29365740464,3850.29365740464,0,0,1,0.270779014622241,0
Mild,2,3102,8410,1,90,cancel,1,Repair,1000,FEASIBLE,3029.86877584629,225,47,0,1,1,0.0001632,3850.29365740464,3850.29365740464,0,0,1,0.270779014622241,0
Mild,2,3102,8910,1,90,cancel,1,Repair,1500,FEASIBLE,3029.86877584629,225,47,0,1,1,9.42e-05,3850.29365740464,3850.29365740464,0,0,1,0.270779014622241,0
Mild,2,3102,9910,1,90,cancel,1,Repair,2500,FEASIBLE,3029.86877584629,225,47,0,1,1,8.72e-05,3850.29365740464,3850.29365740464,0,0,1,0.270779014622241,0
Mild,2,3102,7920,2,150,add,1,Restart,500,FEASIBLE,3028.64196405046,144,66,0,480,480,0.0334609,3883.97176376861,3809.26238308185,0.747093806867611,0,0,0.282413639469698,0.166666666666667
Mild,2,3102,8420,2,150,add,1,Restart,1000,FEASIBLE,3028.64196405046,144,66,0,990,990,0.0650749,4737.66179003652,3754.46415910578,9.83197630930744,0,0,0.564285856919331,0.166666666666667
Mild,2,3102,8920,2,150,add,1,Restart,1500,FEASIBLE,3028.64196405046,144,66,0,1500,1500,0.097352,7674.21120342053,4567.31027101223,31.069009324083,0,0,1.53387864743086,0.75
Mild,2,3102,9920,2,150,add,1,Restart,2500,FEASIBLE,3028.64196405046,144,66,0,2490,2490,0.1561479,3028.64196405046,3028.64196405046,0,0,1,-1.50148930208407e-16,0.0833333333333334
Mild,2,3102,7920,2,150,add,1,WarmStart,500,FEASIBLE,3028.64196405046,144,66,72,420,492,0.0328112,3028.64196405046,3028.64196405046,0,0,1,-1.50148930208407e-16,0.0833333333333334
Mild,2,3102,8420,2,150,add,1,WarmStart,1000,FEASIBLE,3028.64196405046,144,66,72,900,972,0.0629117,3028.64196405046,3028.64196405046,0,0,1,-1.50148930208407e-16,0.0833333333333334
Mild,2,3102,8920,2,150,add,1,WarmStart,1500,FEASIBLE,3028.64196405046,144,66,70,1410,1480,0.0958184,3028.64196405046,3028.64196405046,0,0,1,-1.50148930208407e-16,0.0833333333333334
Mild,2,3102,9920,2,150,add,1,WarmStart,2500,FEASIBLE,3028.64196405046,144,66,70,2430,2500,0.156821,3028.64196405046,3028.64196405046,0,0,1,-1.50148930208407e-16,0.0833333333333334
Mild,2,3102,7920,2,150,add,1,Repair,500,FEASIBLE,3028.64196405046,144,66,0,14,14,0.0022729,3232.7172593301,3232.7172593301,0,0,1,0.0673817828921268,0
Mild,2,3102,8420,2,150,add,1,Repair,1000,FEASIBLE,3028.64196405046,144,66,0,14,14,0.0010056,3232.7172593301,3232.7172593301,0,0,1,0.0673817828921268,0
Mild,2,3102,8920,2,150,add,1,Repair,1500,FEASIBLE,3028.64196405046,144,66,0,14,14,0.0009313,3232.7172593301,3232.7172593301,0,0,1,0.0673817828921268,0
Mild,2,3102,9920,2,150,add,1,Repair,2500,FEASIBLE,3028.64196405046,144,66,0,14,14,0.000862,3232.7172593301,3232.7172593301,0,0,1,0.0673817828921268,0
Moderate,1,3201,7810,1,90,cancel,2,Restart,500,FEASIBLE,2763.17676345423,196,44,0,480,480,0.0374774,7845.47700005869,4625.28793605494,32.2018906400374,0,0,1.83929609709482,0.642857142857143
Moderate,1,3201,8310,1,90,cancel,2,Restart,1000,FEASIBLE,2763.17676345423,196,44,0,990,990,0.0685051,3486.30057957563,3486.30057957563,0,0,1,0.26170016543474,0.357142857142857
Moderate,1,3201,8810,1,90,cancel,2,Restart,1500,FEASIBLE,2763.17676345423,196,44,0,1500,1500,0.1047384,3778.2571186354,3778.2571186354,0,0,1,0.367359905673288,0.5
Moderate,1,3201,9810,1,90,cancel,2,Restart,2500,FEASIBLE,2763.17676345423,196,44,0,2490,2490,0.1766474,3728.75638830675,3728.75638830675,0,0,1,0.349445477981458,0.5
Moderate,1,3201,7810,1,90,cancel,2,WarmStart,500,FEASIBLE,2763.17676345423,196,44,45,450,495,0.0357825,4042.38401135053,3919.68119784133,1.22702813509204,0,0,0.462948033153395,0.214285714285714
Moderate,1,3201,8310,1,90,cancel,2,WarmStart,1000,FEASIBLE,2763.17676345423,196,44,42,930,972,0.0724168,3914.40663415219,3914.40663415219,0,0,1,0.416632727201574,0.0714285714285714
Moderate,1,3201,8810,1,90,cancel,2,WarmStart,1500,FEASIBLE,2763.17676345423,196,44,45,1440,1485,0.1104033,3519.62632837573,3519.62632837573,0,0,1,0.273760830261134,0.142857142857143
Moderate,1,3201,9810,1,90,cancel,2,WarmStart,2500,FEASIBLE,2763.17676345423,196,44,45,2430,2475,0.1687956,4193.29049395615,3978.0030657591,2.15287428197047,0,0,0.517561434873293,0.142857142857143
Moderate,1,3201,7810,1,90,cancel,2,Repair,500,FEASIBLE,2763.17676345423,196,44,0,1,1,0.0011815,4332.20097822731,4005.78516261333,3.26415815613979,0,0,0.567833457318037,0
Moderate,1,3201,8310,1,90,cancel,2,Repair,1000,FEASIBLE,2763.17676345423,196,44,0,1,1,9.8e-05,4332.20097822731,4005.78516261333,3.26415815613979,0,0,0.567833457318037,0
Moderate,1,3201,8810,1,90,cancel,2,Repair,1500,FEASIBLE,2763.17676345423,196,44,0,1,1,8.27e-05,4332.20097822731,4005.78516261333,3.26415815613979,0,0,0.567833457318037,0
Moderate,1,3201,9810,1,90,cancel,2,Repair,2500,FEASIBLE,2763.17676345423,196,44,0,1,1,8e-05,4332.20097822731,4005.78516261333,3.26415815613979,0,0,0.567833457318037,0
Moderate,1,3201,7820,2,150,add,2,Restart,500,UNKNOWN,NaN,169,103,0,480,480,0.0408087,18157.9546929184,3813.68473255103,143.442699603674,0,0,NaN,0.769230769230769
Moderate,1,3201,8320,2,150,add,2,Restart,1000,UNKNOWN,NaN,169,103,0,990,990,0.0772458,9151.77643061963,3923.13521044417,52.2864122017546,0,0,NaN,0.384615384615385
Moderate,1,3201,8820,2,150,add,2,Restart,1500,UNKNOWN,NaN,169,103,0,1500,1500,0.1120983,6032.25603898877,2862.81542785171,31.6944061113706,0,0,NaN,0.769230769230769
Moderate,1,3201,9820,2,150,add,2,Restart,2500,UNKNOWN,NaN,169,103,0,2490,2490,0.1845878,9920.11311574238,3758.02536544761,61.6208775029477,0,0,NaN,0.230769230769231
Moderate,1,3201,7820,2,150,add,2,WarmStart,500,UNKNOWN,NaN,169,103,200,300,500,0.0416341,12206.1246082088,3783.22673841417,84.2289786979467,0,0,NaN,0.153846153846154
Moderate,1,3201,8320,2,150,add,2,WarmStart,1000,UNKNOWN,NaN,169,103,200,780,980,0.0722675,12604.5792129464,3906.62857888126,86.9795063406513,0,0,NaN,0
Moderate,1,3201,8820,2,150,add,2,WarmStart,1500,UNKNOWN,NaN,169,103,200,1290,1490,0.1076408,9411.59316606468,3451.43096196132,59.6016220410336,0,0,NaN,0.0769230769230769
