level,instance,scenario_seed,file_name,reference_cost,reference_late
M1,1,6101,addition_M1_01.mat,3489.9215042075,0
M1,2,6102,addition_M1_02.mat,3490.60296697375,0
M1,3,6103,addition_M1_03.mat,3489.89059281845,0
M1,4,6104,addition_M1_04.mat,3489.91923314473,0
M1,5,6105,addition_M1_05.mat,3490.01893669433,0
M1,6,6106,addition_M1_06.mat,3490.27893870161,0
M1,7,6107,addition_M1_07.mat,3491.03925667496,0
M1,8,6108,addition_M1_08.mat,3491.65412981542,0
M1,9,6109,addition_M1_09.mat,3489.87731324602,0
M1,10,6110,addition_M1_10.mat,3490.38557065644,0
M2,1,6201,addition_M2_01.mat,3492.50282253429,0
M2,2,6202,addition_M2_02.mat,3492.62686447826,0
M2,3,6203,addition_M2_03.mat,3490.64922050934,0
M2,4,6204,addition_M2_04.mat,3494.42172838436,0
M2,5,6205,addition_M2_05.mat,3492.73808270097,0
M2,6,6206,addition_M2_06.mat,3491.13069729247,0
M2,7,6207,addition_M2_07.mat,3491.10418023353,0
M2,8,6208,addition_M2_08.mat,3491.1072691008,0
M2,9,6209,addition_M2_09.mat,3490.58511635792,0
M2,10,6210,addition_M2_10.mat,3491.32214672256,0
M4,1,6301,addition_M4_01.mat,3492.62874432733,0
M4,2,6302,addition_M4_02.mat,3495.49317889264,0
M4,3,6303,addition_M4_03.mat,3491.20822703812,0
M4,4,6304,addition_M4_04.mat,3491.63885231099,0
M4,5,6305,addition_M4_05.mat,3493.12440005459,0
M4,6,6306,addition_M4_06.mat,3492.18623270377,0
M4,7,6307,addition_M4_07.mat,3493.58181375159,0
M4,8,6308,addition_M4_08.mat,3491.04674436958,0
M4,9,6309,addition_M4_09.mat,3490.90694476991,0
M4,10,6310,addition_M4_10.mat,3491.80416143542,0
