level,instance,scenario_seed,algorithm_seed,budget,strategy,event_time,event_size,oracle_status,reference_cost,warm_start_fe,routing_fe,total_fe,response_time,fitness,distance,total_late,obstacle_violation,is_feasible,gap_to_reference,route_disruption,gap_to_bks,bks_cost
M1,1,6101,8200,500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3489.9215042075,0,480,480,0.0416223,5358.72616895039,5358.72616895039,0,0,1,0.535486159929338,0.470588235294118,0.535486159929337,3489.9215042075
M1,1,6101,8700,1000,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3489.9215042075,0,990,990,0.0865689,4588.95373702725,4588.95373702725,0,0,1,0.314916032207242,0.647058823529412,0.31491603220724,3489.9215042075
M1,1,6101,9200,1500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3489.9215042075,0,1500,1500,0.1292734,3848.56567678601,3848.56567678601,0,0,1,0.102765684599533,0.588235294117647,0.102765684599531,3489.9215042075
M1,1,6101,10200,2500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3489.9215042075,0,2490,2490,0.212401,4310.23539916268,4310.23539916268,0,0,1,0.235052248013658,0.647058823529412,0.235052248013658,3489.9215042075
M1,1,6101,8200,500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3489.9215042075,76,420,496,0.0557301,3489.9215042075,3489.9215042075,0,0,1,0,0,0,3489.9215042075
M1,1,6101,8700,1000,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3489.9215042075,76,900,976,0.0920411,3489.9215042075,3489.9215042075,0,0,1,0,0,0,3489.9215042075
M1,1,6101,9200,1500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3489.9215042075,78,1410,1488,0.1220626,3489.9215042075,3489.9215042075,0,0,1,0,0,0,3489.9215042075
M1,1,6101,10200,2500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3489.9215042075,76,2400,2476,0.199317,3489.9215042075,3489.9215042075,0,0,1,0,0,0,3489.9215042075
M1,1,6101,8200,500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3489.9215042075,0,19,19,0.0080141,3489.9215042075,3489.9215042075,0,0,1,0,0,0,3489.9215042075
M1,1,6101,8700,1000,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3489.9215042075,0,19,19,0.0027005,3489.9215042075,3489.9215042075,0,0,1,0,0,0,3489.9215042075
M1,1,6101,9200,1500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3489.9215042075,0,19,19,0.0018625,3489.9215042075,3489.9215042075,0,0,1,0,0,0,3489.9215042075
M1,1,6101,10200,2500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3489.9215042075,0,19,19,0.001722,3489.9215042075,3489.9215042075,0,0,1,0,0,0,3489.9215042075
M1,2,6102,8300,500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3490.60296697375,0,480,480,0.0396558,5561.22607918233,5561.22607918233,0,0,1,0.593199264367712,0.470588235294118,0.593199264367712,3490.60296697375
M1,2,6102,8800,1000,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3490.60296697375,0,990,990,0.0885591,5669.88483085464,5669.88483085464,0,0,1,0.624328199024668,0.588235294117647,0.62432819902467,3490.60296697375
M1,2,6102,9300,1500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3490.60296697375,0,1500,1500,0.1189177,5036.12517996538,5036.12517996538,0,0,1,0.442766544237356,0.411764705882353,0.442766544237356,3490.60296697375
M1,2,6102,10300,2500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3490.60296697375,0,2490,2490,0.1981981,3640.92655722856,3640.92655722856,0,0,1,0.0430652215898204,0.352941176470588,0.0430652215898206,3490.60296697375
M1,2,6102,8300,500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3490.60296697375,77,420,497,0.04595,3490.60296697375,3490.60296697375,0,0,1,0,0,0,3490.60296697375
M1,2,6102,8800,1000,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3490.60296697375,77,900,977,0.0778263,3490.60296697375,3490.60296697375,0,0,1,0,0,0,3490.60296697375
M1,2,6102,9300,1500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3490.60296697375,77,1410,1487,0.115696,3490.60296697375,3490.60296697375,0,0,1,0,0,0,3490.60296697375
M1,2,6102,10300,2500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3490.60296697375,76,2400,2476,0.197297,3490.60296697375,3490.60296697375,0,0,1,0,0,0,3490.60296697375
M1,2,6102,8300,500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3490.60296697375,0,19,19,0.0038671,3490.60296697375,3490.60296697375,0,0,1,0,0,0,3490.60296697375
M1,2,6102,8800,1000,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3490.60296697375,0,19,19,0.0014425,3490.60296697375,3490.60296697375,0,0,1,0,0,0,3490.60296697375
