level,strategy,budget,mean_total_fe,mean_fitness,mean_gap,feasibility_rate,mean_response_time
M1,Repair,500,19,3490.35884429332,0,1,0.00236277
M1,Repair,1000,19,3490.35884429332,0,1,0.00154452
M1,Repair,1500,19,3490.35884429332,0,1,0.00142956
M1,Repair,2500,19,3490.35884429332,0,1,0.00146755
M1,Restart,500,480,5286.49477269176,0.514584750701665,1,0.04032583
M1,Restart,1000,990,5040.55354722213,0.444138016526907,1,0.08420125
M1,Restart,1500,1500,4370.39107902896,0.252124531626527,1,0.12271211
M1,Restart,2500,2490,4446.71581805755,0.273989271660314,1,0.20262469
M1,WarmStart,500,497.2,3490.35884429332,0,1,0.04343702
M1,WarmStart,1000,976.9,3490.35884429332,0,1,0.08070747
M1,WarmStart,1500,1487.2,3490.35884429332,0,1,0.12013989
M1,WarmStart,2500,2476.8,3485.61703122187,-0.00135853560458086,1,0.19851284
M2,Repair,500,38,3491.81881283145,0,1,0.00397051
M2,Repair,1000,38,3491.81881283145,0,1,0.00368122
M2,Repair,1500,38,3491.81881283145,0,1,0.0035563
M2,Repair,2500,38,3491.81881283145,0,1,0.0035398
M2,Restart,500,480,6019.83414691228,0.72397020565461,1,0.05264334
M2,Restart,1000,990,5266.18714960971,0.508140807814807,1,0.10466455
M2,Restart,1500,1500,4783.65725189928,0.369950251223057,0.9,0.1531935
M2,Restart,2500,2490,4758.48766040283,0.362726296281241,1,0.24614555
M2,WarmStart,500,500,3491.81881283145,0,1,0.0516819
M2,WarmStart,1000,980,3491.81881283145,0,1,0.09757617
M2,WarmStart,1500,1490,3491.81881283145,0,1,0.15160196
M2,WarmStart,2500,2480,3491.81881283145,0,1,0.2467755
M4,Repair,500,79,3492.36192996539,0,1,0.00734329
M4,Repair,1000,79,3492.36192996539,0,1,0.0068674
M4,Repair,1500,79,3492.36192996539,0,1,0.006522
M4,Repair,2500,79,3492.36192996539,0,1,0.00684569
M4,Restart,500,480,6638.70723280465,0.900895176298005,1,0.047252
M4,Restart,1000,990,6292.36969323758,0.801758229669919,1,0.09305462
M4,Restart,1500,1500,6017.47238316131,0.72305355536755,1,0.1411071
M4,Restart,2500,2490,5548.20089123296,0.588660398604791,1,0.23563542
M4,WarmStart,500,500,4090.87603885336,0.171402409582792,1,1.28284887
M4,WarmStart,1000,980,3793.50678661645,0.0862322732588637,1,1.31678658
M4,WarmStart,1500,1490,3909.23986145586,0.119364458750792,1,1.36759082
M4,WarmStart,2500,2480,3580.92279489589,0.0253537673798938,1,1.45887572
