dataset,level,instance,checkpoint_fe,strategy,fitness,gap_to_bks,actual_fe,is_feasible
addition_instances,M1,1,500,Restart,5358.72616895039,0.535486159929337,480,1
addition_instances,M1,1,500,WarmStart,3489.9215042075,0,496,1
addition_instances,M1,1,500,Repair,3489.9215042075,0,19,1
addition_instances,M1,1,500,Restart,5175.4313825411,0.482964982536577,480,1
addition_instances,M1,1,1000,Restart,4588.95373702725,0.31491603220724,990,1
addition_instances,M1,1,1000,WarmStart,3489.9215042075,0,976,1
addition_instances,M1,1,1000,Repair,3489.9215042075,0,19,1
addition_instances,M1,1,1000,Restart,4638.2286025331,0.329035222408638,960,1
addition_instances,M1,1,1500,Restart,3848.56567678601,0.102765684599531,1500,1
addition_instances,M1,1,1500,WarmStart,3489.9215042075,0,1488,1
addition_instances,M1,1,1500,Repair,3489.9215042075,0,19,1
addition_instances,M1,1,1500,Restart,4401.50402980857,0.261204306315214,1500,1
addition_instances,M1,1,2500,Restart,4310.23539916268,0.235052248013658,2490,1
addition_instances,M1,1,2500,WarmStart,3489.9215042075,0,2476,1
addition_instances,M1,1,2500,Repair,3489.9215042075,0,19,1
addition_instances,M1,1,2500,Restart,3958.29997594034,0.134208884402745,2460,1
addition_instances,M1,1,5000,Restart,3802.82958423161,0.0896604922623226,4980,1
addition_instances,M1,1,10000,Restart,3802.82958423161,0.0896604922623226,9960,1
addition_instances,M1,1,20000,Restart,3802.82958423161,0.0896604922623226,19980,1
addition_instances,M4,1,500,Restart,6715.12382127844,0.922656060191062,480,1
addition_instances,M4,1,500,WarmStart,3536.18007791842,0.0124694998464482,500,1
addition_instances,M4,1,500,Repair,3492.62874432733,0,79,1
addition_instances,M4,1,500,Restart,7328.30816895564,1.098221341406,480,1
addition_instances,M4,1,1000,Restart,7328.09248269106,1.09815958669905,990,1
addition_instances,M4,1,1000,WarmStart,3492.62874432733,0,980,1
addition_instances,M4,1,1000,Repair,3492.62874432733,0,79,1
addition_instances,M4,1,1000,Restart,7114.32374404749,1.03695390058347,960,1
addition_instances,M4,1,1500,Restart,6197.70149975263,0.774509102869532,1500,1
addition_instances,M4,1,1500,WarmStart,5051.27629860373,0.446267745121187,1490,1
addition_instances,M4,1,1500,Repair,3492.62874432733,0,79,1
addition_instances,M4,1,1500,Restart,6704.74558192955,0.919684590816958,1500,1
addition_instances,M4,1,2500,Restart,5660.45901600502,0.620687290396566,2490,1
addition_instances,M4,1,2500,WarmStart,3492.62874432733,0,2480,1
addition_instances,M4,1,2500,Repair,3492.62874432733,0,79,1
addition_instances,M4,1,2500,Restart,6232.66608190926,0.784520067308115,2460,1
addition_instances,M4,1,5000,Restart,5568.04074199974,0.594226340558887,4980,1
addition_instances,M4,1,10000,Restart,5568.04074199974,0.594226340558887,9960,1
addition_instances,M4,1,20000,Restart,5397.1719345208,0.545303646511755,19980,1
addition_stress_instances,Near,1,500,Restart,5535.87962179736,0.594133551038927,480,1
addition_stress_instances,Near,1,500,WarmStart,3492.17238466647,0.00561962050052267,500,1
addition_stress_instances,Near,1,500,Repair,3492.17238466647,0.00561962050052267,38,1
addition_stress_instances,Near,1,500,Restart,6504.05720095438,0.872933754031194,480,1
addition_stress_instances,Near,1,1000,Restart,5569.27597001431,0.603750494110665,990,1
addition_stress_instances,Near,1,1000,WarmStart,3492.17238466647,0.00561962050052267,980,1
addition_stress_instances,Near,1,1000,Repair,3492.17238466647,0.00561962050052267,38,1
addition_stress_instances,Near,1,1000,Restart,5570.67310327179,0.604152818068767,960,1
addition_stress_instances,Near,1,1500,Restart,5168.83917147837,0.488439147183381,1500,1
addition_stress_instances,Near,1,1500,WarmStart,3492.17238466647,0.00561962050052267,1490,1
addition_stress_instances,Near,1,1500,Repair,3492.17238466647,0.00561962050052267,38,1
addition_stress_instances,Near,1,1500,Restart,5003.44519067457,0.440811649486165,1500,1
addition_stress_instances,Near,1,2500,Restart,3472.65736812924,0,2490,1
addition_stress_instances,Near,1,2500,WarmStart,3492.17238466647,0.00561962050052267,2480,1
addition_stress_instances,Near,1,2500,Repair,3492.17238466647,0.00561962050052267,38,1
