level,strategy,budget,mean_gap_to_bks,mean_total_fe,feasibility_rate
M1,Repair,500,0.00872026156155649,19,1
M1,Repair,1000,0.00872026156155649,19,1
M1,Repair,1500,0.00872026156155649,19,1
M1,Repair,2500,0.00872026156155649,19,1
M1,Restart,500,0.563326376435699,480,1
M1,Restart,1000,0.41595652442591,990,1
M1,Restart,1500,0.362144885045345,1500,1
M1,Restart,2500,0.329399362184267,2490,1
M1,WarmStart,500,0.00872026156155649,497.2,1
M1,WarmStart,1000,0.00872026156155649,976.9,1
M1,WarmStart,1500,0.00872026156155649,1487.2,1
M1,WarmStart,2500,0.0073430155799529,2476.8,1
M2,Repair,500,9.79156425000588e-05,38,1
M2,Repair,1000,9.79156425000588e-05,38,1
M2,Repair,1500,9.79156425000588e-05,38,1
M2,Repair,2500,9.79156425000588e-05,38,1
M2,Restart,500,0.724134766752491,480,1
M2,Restart,1000,0.508253564975685,990,1
M2,Restart,1500,0.370074109862877,1500,0.9
M2,Restart,2500,0.362833073667704,2490,1
M2,WarmStart,500,9.79156425000588e-05,500,1
M2,WarmStart,1000,9.79156425000588e-05,980,1
M2,WarmStart,1500,9.79156425000588e-05,1490,1
M2,WarmStart,2500,9.79156425000588e-05,2480,1
M4,Repair,500,0.00016564505518729,79,1
M4,Repair,1000,0.00016564505518729,79,1
M4,Repair,1500,0.00016564505518729,79,1
M4,Repair,2500,0.00016564505518729,79,1
M4,Restart,500,0.904411454329565,480,1
M4,Restart,1000,0.775311580677188,990,1
M4,Restart,1500,0.688472029810206,1500,1
M4,Restart,2500,0.463106694895609,2490,1
M4,WarmStart,500,0.0771196214853291,500,0.9
M4,WarmStart,1000,0.0791214304199371,980,1
M4,WarmStart,1500,0.026218782499575,1490,1
M4,WarmStart,2500,0.0274543715396087,2480,1
Far,Repair,500,0,38,1
Far,Repair,1000,0,38,1
Far,Repair,1500,0,38,1
Far,Repair,2500,0,38,1
Far,Restart,500,0.717190772782366,480,1
Far,Restart,1000,0.389628004441265,990,1
Far,Restart,1500,0.304311893749647,1500,1
Far,Restart,2500,0.284947801473533,2490,1
Far,WarmStart,500,0,500,1
Far,WarmStart,1000,0,980,1
Far,WarmStart,1500,0,1490,1
Far,WarmStart,2500,0,2480,1
Near,Repair,500,0.033085689049151,38,0.8
Near,Repair,1000,0.033085689049151,38,0.8
Near,Repair,1500,0.033085689049151,38,0.8
Near,Repair,2500,0.033085689049151,38,0.8
Near,Restart,500,0.728008216913369,480,1
Near,Restart,1000,0.479294081532776,990,1
Near,Restart,1500,0.338927857591067,1500,1
Near,Restart,2500,0.155524194657661,2490,1
Near,WarmStart,500,0.0263118438530357,500,1
Near,WarmStart,1000,0.0171943272499927,980,1
Near,WarmStart,1500,0.0171943272499927,1490,1
Near,WarmStart,2500,0.0171943272499927,2480,1
Tight,Repair,500,0.00197905662460392,38,1
Tight,Repair,1000,0.00197905662460392,38,1
Tight,Repair,1500,0.00197905662460392,38,1
Tight,Repair,2500,0.00197905662460392,38,1
Tight,Restart,500,0.68977689749807,480,1
Tight,Restart,1000,0.468479975944871,990,1
Tight,Restart,1500,0.322894596669736,1500,1
Tight,Restart,2500,0.258971180863491,2490,1
Tight,WarmStart,500,0.00143487603879712,500,1
Tight,WarmStart,1000,0.00143487603879712,980,1
Tight,WarmStart,1500,0,1490,1
Tight,WarmStart,2500,0,2480,1
