instance,nCustomers,method,seed,budget_factor,budget_fe,actual_fe,total_late,is_feasible,first_feasible_fe,tour_cost,gap_to_bks,mode
rc_201.1,19,PSO,940101,25,475,475,1024.7161,0,NaN,552.4258,NaN,none
rc_201.1,19,Global,940101,25,475,475,5.30730000000005,0,NaN,485.6662,NaN,global
rc_201.1,19,LateOnly,940101,25,475,475,0,1,434,563.5435,0.267700319431322,late
rc_201.1,19,Propagation,940101,25,475,475,0,1,363,570.8549,0.28414743330184,propagation
rc_201.1,19,StateSwitch,940101,25,475,475,0,1,363,556.145,0.251057272686373,global
rc_201.1,19,PSO,940101,50,950,950,1024.7161,0,NaN,552.4258,NaN,none
rc_201.1,19,Global,940101,50,950,950,0,1,689,450.0896,0.012483915958069,global
rc_201.1,19,LateOnly,940101,50,950,950,0,1,434,490.272,0.102874881900391,late
rc_201.1,19,Propagation,940101,50,950,950,0,1,363,482.2332,0.0847914698339855,propagation
rc_201.1,19,StateSwitch,940101,50,950,950,0,1,363,449.055,0.0101565663382371,global
rc_201.1,19,PSO,940101,100,1900,1900,1024.7161,0,NaN,552.4258,NaN,none
rc_201.1,19,Global,940101,100,1900,1900,0,1,689,444.5425,5.62379088495462e-06,global
rc_201.1,19,LateOnly,940101,100,1900,1900,0,1,434,480.3713,0.0806030953345031,late
rc_201.1,19,Propagation,940101,100,1900,1900,0,1,363,454.1669,0.0216558689881674,propagation
rc_201.1,19,StateSwitch,940101,100,1900,1900,0,1,363,444.5425,5.62379088495462e-06,global
rc_201.1,19,PSO,940102,25,475,475,1542.5952,0,NaN,575.0797,NaN,none
rc_201.1,19,Global,940102,25,475,475,1067.7182,0,NaN,587.3617,NaN,global
rc_201.1,19,LateOnly,940102,25,475,475,101.0565,0,NaN,539.0009,NaN,late
rc_201.1,19,Propagation,940102,25,475,475,101.0565,0,NaN,539.0009,NaN,propagation
rc_201.1,19,StateSwitch,940102,25,475,475,101.0565,0,NaN,539.0009,NaN,propagation
rc_201.1,19,PSO,940102,50,950,950,745.5404,0,NaN,528.4007,NaN,none
rc_201.1,19,Global,940102,50,950,950,382.24,0,NaN,635.2382,NaN,global
rc_201.1,19,LateOnly,940102,50,950,950,0,1,481,459.6337,0.0339535249921266,late
rc_201.1,19,Propagation,940102,50,950,950,0,1,481,459.6337,0.0339535249921266,propagation
rc_201.1,19,StateSwitch,940102,50,950,950,0,1,481,504.2484,0.134315022270212,global
rc_201.1,19,PSO,940102,100,1900,1900,625.5984,0,NaN,573.7911,NaN,none
rc_201.1,19,Global,940102,100,1900,1900,0,1,1222,459.7244,0.0341575561254329,global
rc_201.1,19,LateOnly,940102,100,1900,1900,0,1,481,451.2624,0.0151221487380214,late
rc_201.1,19,Propagation,940102,100,1900,1900,0,1,481,451.2624,0.0151221487380214,propagation
rc_201.1,19,StateSwitch,940102,100,1900,1900,0,1,481,444.5425,5.62379088495462e-06,global
rc_201.1,19,PSO,940103,25,475,475,940.9501,0,NaN,586.1626,NaN,none
