dataset,level,instance,scenario_seed,algorithm_seed,event_type,event_size,strategy,seed_index,checkpoint_fe,actual_fe,warm_start_fe,local_search_fe,response_time,fitness,distance,total_late,is_feasible,reference_cost,gap_to_reference,overtake_repair,first_feasible_fe
addition_instances,M1,9,6109,6809001,add,1,Repair,1,500,19,0,0,0.0122448,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809001,add,1,Repair,1,1000,19,0,0,0.0122448,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809001,add,1,Repair,1,1500,19,0,0,0.0122448,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809001,add,1,Repair,1,2500,19,0,0,0.0122448,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809001,add,1,WarmPSO,1,500,498,78,0,0.3822177,5757.15899824967,5757.15899824967,0,1,3489.87731324602,0.649673751108114,1,79
addition_instances,M1,9,6109,6809001,add,1,WarmPSO,1,1000,978,78,0,0.3822177,5531.40714505632,5531.40714505632,0,1,3489.87731324602,0.584986132338109,1,79
addition_instances,M1,9,6109,6809001,add,1,WarmPSO,1,1500,1488,78,0,0.3822177,5431.86749469694,5431.86749469694,0,1,3489.87731324602,0.556463739879908,1,79
addition_instances,M1,9,6109,6809001,add,1,WarmPSO,1,2500,2478,78,0,0.3822177,5228.61895121847,5228.61895121847,0,1,3489.87731324602,0.498224287533824,1,79
addition_instances,M1,9,6109,6809001,add,1,WarmPSO_Relocate,1,500,493,78,175,0.4056819,4249.41337021499,4249.41337021499,0,1,3489.87731324602,0.217639758878088,1,79
addition_instances,M1,9,6109,6809001,add,1,WarmPSO_Relocate,1,1000,988,78,400,0.4056819,3664.25135962553,3664.25135962553,0,1,3489.87731324602,0.049965666620331,1,79
addition_instances,M1,9,6109,6809001,add,1,WarmPSO_Relocate,1,1500,1483,78,625,0.4056819,3418.29849187324,3418.29849187324,0,1,3489.87731324602,-0.0205104119566318,1,79
addition_instances,M1,9,6109,6809001,add,1,WarmPSO_Relocate,1,2500,2473,78,1075,0.4056819,3339.98606448171,3339.98606448171,0,1,3489.87731324602,-0.0429502917467582,1,79
