dataset,level,instance,scenario_seed,n_add,delta_insertion_distance,insertion_ratio,mean_detour_ratio,max_detour_ratio,min_slack,mean_slack,critical_count,reference_distance,reference_late,reference_obstacle_violation
addition_instances,M1,1,6101,1,0.0441909614792166,1.2662611751848e-05,1,1,120,407.84282253031,0,3489.9215042075,0,0
addition_instances,M1,2,6102,1,0.725653727731242,0.000207931013785781,1,1,120,400.618111175608,0,3490.60296697375,0,0
addition_instances,M1,3,6103,1,0.0132795724307471,3.80516884657914e-06,1,1,120,404.063995871501,0,3489.89059281845,0,0
addition_instances,M1,4,6104,1,0.0419198987101481,1.20118545574765e-05,1,1,120,405.234004126561,0,3489.91923314473,0,0
addition_instances,M1,5,6105,1,0.141623448313112,4.05812112006266e-05,1,1,120,405.955477960042,0,3490.01893669433,0,0
addition_instances,M1,6,6106,1,0.401625455586327,0.000115082972705641,1,1,120,407.84282253031,0,3490.27893870161,0,0
addition_instances,M1,7,6107,1,1.16194342893687,0.000332946784268503,1,1,120,402.276850127147,0,3491.03925667496,0,0
addition_instances,M1,8,6108,1,1.77681656940331,0.000509134393538508,1,1,120,404.756064557512,0,3491.65412981542,0,0
addition_instances,M1,9,6109,1,0,0,0,0,120,398.125533678991,0,3489.87731324602,0,0
addition_instances,M1,10,6110,1,0.508257410416718,0.000145637615536684,1,1,120,403.460971670826,0,3490.38557065644,0,0
addition_instances,M2,1,6201,2,2.62550928827432,0.000752321371960284,1,1,80,385.096868229191,0,3492.50282253429,0,0
addition_instances,M2,2,6202,2,2.74955123224481,0.000787864725733693,1,1,80,386.554129761768,0,3492.62686447826,0,0
addition_instances,M2,3,6203,2,0.771907263319918,0.00022118464176093,0.5,1,80,377.367706320982,0,3490.64922050934,0,0
addition_instances,M2,4,6204,2,4.54441513834536,0.00130217045771116,1,1,80,385.563204044417,0,3494.42172838436,0,0
addition_instances,M2,5,6205,2,2.86076945494688,0.000819733531631232,1,1,80,380.195436902527,0,3492.73808270097,0,0
addition_instances,M2,6,6206,2,1.25338404645208,0.000359148455361109,1,1,80,380.00278896476,0,3491.13069729247,0,0
addition_instances,M2,7,6207,2,1.22686698751568,0.000351550177096208,1,1,80,384.772575299507,0,3491.10418023353,0,0
addition_instances,M2,8,6208,2,1.22995585478384,0.000352435270465089,1,1,80,385.506644366262,0,3491.1072691008,0,0
addition_instances,M2,9,6209,2,0.707803111902194,0.000202816044339349,0.5,1,80,371.2436794211,0,3490.58511635792,0,0
addition_instances,M2,10,6210,2,1.4448334765425,0.000414006954072155,1,1,80,378.3319291061,0,3491.32214672256,0,0
addition_instances,M4,1,6301,4,2.75143108131169,0.000788403383370667,1,1,40,343.640443977303,0,3492.62874432733,0,0
addition_instances,M4,2,6302,4,5.61586564661775,0.00160918712680885,1,1,40,331.483316043597,0,3495.49317889264,0,0
addition_instances,M4,3,6303,4,1.330913792101,0.000381364063157591,1,1,40,338.593337382608,0,3491.20822703812,0,0
addition_instances,M4,4,6304,4,1.76153906497029,0.000504756731213523,1,1,40,340.677147020299,0,3491.63885231099,0,0
addition_instances,M4,5,6305,4,3.24708680857475,0.000930430074504412,1,1,40,336.66572279741,0,3493.12440005459,0,0
addition_instances,M4,6,6306,4,2.30891945774783,0.000661604764438052,1,1,40,341.434463094845,0,3492.18623270377,0,0
addition_instances,M4,7,6307,4,3.70450050557065,0.00106149877862755,1,1,40,332.603748153279,0,3493.58181375159,0,0
addition_instances,M4,8,6308,4,1.1694311235633,0.000335092330932282,0.75,1,40,333.165974388063,0,3491.04674436958,0,0
addition_instances,M4,9,6309,4,1.02963152389157,0.00029503373083734,1,1,40,329.625591383505,0,3490.90694476991,0,0
addition_instances,M4,10,6310,4,1.92684818939961,0.000552124907682614,0.5,1,40,333.17842144783,0,3491.80416143542,0,0
addition_stress_instances,Near,1,8101,2,711.404399560834,0.203847968196664,1,1,80,381.155088025543,0,4201.28171280685,0,0
addition_stress_instances,Near,2,8102,2,711.404399560834,0.203847968196664,1,1,80,381.155088025543,0,4201.28171280685,0,0
addition_stress_instances,Near,3,8103,2,711.404399560834,0.203847968196664,1,1,80,381.155088025543,0,4201.28171280685,0,0
addition_stress_instances,Near,4,8104,2,711.404399560834,0.203847968196664,1,1,80,381.155088025543,0,4201.28171280685,0,0
addition_stress_instances,Near,5,8105,2,711.404399560834,0.203847968196664,1,1,80,381.155088025543,0,4201.28171280685,0,0
addition_stress_instances,Far,1,8201,2,2123.92499644307,0.608595892005027,1,1,80,334.755994261797,0,5613.80230968909,0,0
addition_stress_instances,Far,2,8202,2,2123.92499644307,0.608595892005027,1,1,80,334.755994261797,0,5613.80230968909,0,0
addition_stress_instances,Far,3,8203,2,2123.92499644307,0.608595892005027,1,1,80,334.755994261797,0,5613.80230968909,0,0
addition_stress_instances,Far,4,8204,2,2123.92499644307,0.608595892005027,1,1,80,334.755994261797,0,5613.80230968909,0,0
addition_stress_instances,Far,5,8205,2,2123.92499644307,0.608595892005027,1,1,80,334.755994261797,0,5613.80230968909,0,0
addition_stress_instances,Tight,1,8301,2,711.404399560834,0.203847968196664,1,1,25,375.365614341332,2,4201.28171280685,0,0
addition_stress_instances,Tight,2,8302,2,711.404399560834,0.203847968196664,1,1,25,375.365614341332,2,4201.28171280685,0,0
