level,instance,scenario_seed,event_index,event_time,event_type,event_size,oracle_status,exitflag,reference_cost,allowed_edges,reused_legs,computed_legs,state_x,state_y,state_z,state_time
Mild,1,3001,1,90,cancel,1,FEASIBLE,2,4124.42972963569,307,289,53,430,500,375,90
Mild,1,3001,2,150,add,1,UNKNOWN,0,,211,169,71,188.243445511308,602.509363555274,375,150
Mild,2,3002,1,90,cancel,1,FEASIBLE,1,2947.48118319864,241,225,47,270,700,375,90
Mild,2,3002,2,150,add,1,UNKNOWN,0,,183,144,66,900,700,375,150
Moderate,1,3001,1,90,cancel,2,FEASIBLE,1,3311.4635986381,273,256,50,430,500,375,90
Moderate,1,3001,2,150,add,2,UNKNOWN,0,,241,169,103,850,500,375,150
Moderate,2,3002,1,90,cancel,2,FEASIBLE,1,2914.54681934538,211,196,44,270,700,375,90
Moderate,2,3002,2,150,add,2,UNKNOWN,0,,183,121,89,680,700,375,150
Severe,1,3001,1,90,cancel,4,FEASIBLE,1,2888.03836513997,183,169,41,430,500,375,90
Severe,1,3001,2,150,add,4,FEASIBLE,1,2515.21305670629,211,100,140,876.672872589337,342.412958928478,375,150
Severe,2,3002,1,90,cancel,4,FEASIBLE,1,2688.81403625452,157,144,38,270,700,375,90
Severe,2,3002,2,150,add,4,FEASIBLE,2,3368.94159167951,183,81,129,680,700,375,150
