level,instance,scenario_seed,event_index,status,reference_cost,reference_fe,tightened,route_length
Mild,1,3001,1,FEASIBLE,2884.2729763068,0,0,16
Mild,1,3001,2,FEASIBLE,2287.60588605483,0,1,14
Mild,2,3002,1,FEASIBLE,3097.53864996274,0,0,15
Mild,2,3002,2,UNKNOWN,4244.27248953517,2400,0,0
Moderate,1,3001,1,FEASIBLE,2830.97220867607,0,0,15
Moderate,1,3001,2,FEASIBLE,3630.16487280433,0,1,14
Moderate,2,3002,1,FEASIBLE,2972.66610703764,0,0,14
Moderate,2,3002,2,FEASIBLE,2295.09576651713,0,1,13
Severe,1,3001,1,FEASIBLE,2619.35558384506,0,0,13
Severe,1,3001,2,FEASIBLE,3265.36076764371,0,1,14
Severe,2,3002,1,FEASIBLE,3059.02850057405,0,0,13
Severe,2,3002,2,FEASIBLE,3304.7631786685,0,1,14
