instance,route_index,route_source,seed,route_cost,oracle_source,oracle_cost,oracle_gain,random_expected_gain,random_improve_probability,actionable,actionability_label,nCustomers
rc_201.1,1,reference,0,444.5425,15,444.5425,0,0,0,0,non-actionable,19
rc_201.1,2,first-feasible,1,532.0086,16,487.9699,44.0386999999999,5.87641052631579,0.368421052631579,1,actionable,19
rc_201.1,3,final-feasible,1,482.8134,15,482.8134,0,0,0,0,non-actionable,19
rc_201.1,4,first-feasible,2,493.3009,20,477.354,15.9469,1.31562105263159,0.263157894736842,1,actionable,19
rc_201.1,5,first-feasible,3,569.0019,5,555.5288,13.4730999999999,3.87793684210525,0.684210526315789,1,actionable,19
rc_201.1,6,first-feasible,4,574.3641,14,512.7629,61.6012000000001,8.03004736842106,0.421052631578947,1,actionable,19
rc_201.1,7,first-feasible,5,531.7378,16,487.6991,44.0387,10.9359894736842,0.578947368421053,1,actionable,19
rc_201.1,8,first-feasible,6,576.9545,19,487.8325,89.122,9.28923157894736,0.526315789473684,1,actionable,19
rc_201.1,9,first-feasible,7,473.8219,18,459.478,14.3439,2.72523684210527,0.526315789473684,1,actionable,19
rc_201.1,10,final-feasible,7,449.893,11,445.8462,4.04679999999996,0.212989473684209,0.0526315789473684,1,actionable,19
rc_201.1,11,first-feasible,8,538.2893,14,476.6881,61.6011999999999,6.37134210526316,0.526315789473684,1,actionable,19
rc_201.1,12,final-feasible,8,445.3805,15,445.3805,0,0,0,0,non-actionable,19
rc_201.1,13,first-feasible,9,587.1825,8,561.3286,25.8539,6.81482105263156,0.631578947368421,1,actionable,19
rc_201.1,14,first-feasible,10,460.3171,11,456.2703,4.04679999999996,0.975715789473683,0.315789473684211,1,actionable,19
rc_201.1,15,first-feasible,11,576.1266,20,537.3283,38.7983,5.19844210526318,0.315789473684211,1,actionable,19
rc_201.1,16,final-feasible,11,449.055,11,445.0082,4.04679999999996,0.212989473684209,0.0526315789473684,1,actionable,19
rc_201.1,17,first-feasible,12,489.0971,17,462.1619,26.9352,4.00471052631579,0.210526315789474,1,actionable,19
rc_201.1,18,first-feasible,13,601.7212,19,510.1881,91.5331,12.6134210526316,0.473684210526316,1,actionable,19
rc_201.1,19,first-feasible,14,585.1627,19,499.3201,85.8426000000001,10.7737473684211,0.368421052631579,1,actionable,19
rc_201.1,20,first-feasible,15,536.9278,14,482.3338,54.5940000000001,7.05740000000001,0.473684210526316,1,actionable,19
rc_201.1,21,first-feasible,16,540.3221,14,485.7281,54.5940000000001,7.54152631578949,0.368421052631579,1,actionable,19
rc_201.1,22,first-feasible,17,609.0656,14,554.4716,54.5940000000001,17.3886421052632,0.736842105263158,1,actionable,19
rc_201.1,23,first-feasible,18,542.0293,14,480.4281,61.6012000000001,4.87748947368423,0.368421052631579,1,actionable,19
rc_201.1,24,first-feasible,19,618.8522,19,531.7555,87.0967000000001,13.6192578947369,0.578947368421053,1,actionable,19
rc_201.1,25,first-feasible,20,554.0339,10,523.6755,30.3584,3.20664736842104,0.263157894736842,1,actionable,19
rc_201.3,1,reference,0,790.6069,13,790.6069,0,0,0,0,non-actionable,31
rc_201.3,2,first-feasible,1,830.3083,2,808.162,22.1463,2.01168387096772,0.32258064516129,1,actionable,31
rc_201.3,3,first-feasible,4,818.8442,25,806.3285,12.5156999999999,1.41802903225807,0.161290322580645,1,actionable,31
rc_201.3,4,first-feasible,5,828.0352,17,809.2005,18.8347,2.04995806451614,0.225806451612903,1,actionable,31
rc_201.3,5,final-feasible,5,801.747,9,796.9798,4.7672,0.15378064516129,0.032258064516129,1,actionable,31
rc_201.3,6,first-feasible,14,823.0127,5,811.3471,11.6656,1.21880967741937,0.225806451612903,1,actionable,31
rc_201.3,7,final-feasible,14,802.049,15,802.049,0,0,0,0,non-actionable,31
rc_201.3,8,first-feasible,15,815.5056,29,796.7135,18.7921000000001,1.6063677419355,0.193548387096774,1,actionable,31
rc_201.3,9,first-feasible,17,869.8793,21,849.1024,20.7769,1.88763225806453,0.354838709677419,1,actionable,31
rc_201.3,10,final-feasible,17,807.9155,17,798.9743,8.94119999999998,0.288425806451612,0.032258064516129,1,actionable,31
rc_204.1,1,reference,0,878.64017,41,878.64017,0,0,0,0,non-actionable,45
