dataset,level,instance,strategy,budget,gap_to_bks,insertion_ratio,mean_detour_ratio,max_detour_ratio,min_slack,critical_count,n_add
addition_instances,M1,1,Restart,500,0.603117318943737,1.2662611751848e-05,1,1,80,0,1
addition_instances,M1,1,Restart,1000,0.125250475922696,1.2662611751848e-05,1,1,80,0,1
addition_instances,M1,1,Restart,1500,0.344197520811035,1.2662611751848e-05,1,1,80,0,1
addition_instances,M1,1,Restart,2500,0.274879345763114,1.2662611751848e-05,1,1,80,0,1
addition_instances,M1,1,WarmStart,500,0,1.2662611751848e-05,1,1,80,0,1
addition_instances,M1,1,WarmStart,1000,0,1.2662611751848e-05,1,1,80,0,1
addition_instances,M1,1,WarmStart,1500,0,1.2662611751848e-05,1,1,80,0,1
addition_instances,M1,1,WarmStart,2500,0,1.2662611751848e-05,1,1,80,0,1
addition_instances,M1,1,Repair,500,0,1.2662611751848e-05,1,1,80,0,1
addition_instances,M1,1,Repair,1000,0,1.2662611751848e-05,1,1,80,0,1
addition_instances,M1,1,Repair,1500,0,1.2662611751848e-05,1,1,80,0,1
addition_instances,M1,1,Repair,2500,0,1.2662611751848e-05,1,1,80,0,1
addition_instances,M1,2,Restart,500,0.600989301906949,0.000207931013785781,1,1,80,0,1
addition_instances,M1,2,Restart,1000,0.570670499363261,0.000207931013785781,1,1,80,0,1
addition_instances,M1,2,Restart,1500,0.442766544237356,0.000207931013785781,1,1,80,0,1
addition_instances,M1,2,Restart,2500,0.365355856613234,0.000207931013785781,1,1,80,0,1
addition_instances,M1,2,WarmStart,500,0,0.000207931013785781,1,1,80,0,1
addition_instances,M1,2,WarmStart,1000,0,0.000207931013785781,1,1,80,0,1
addition_instances,M1,2,WarmStart,1500,0,0.000207931013785781,1,1,80,0,1
addition_instances,M1,2,WarmStart,2500,0,0.000207931013785781,1,1,80,0,1
addition_instances,M1,2,Repair,500,0,0.000207931013785781,1,1,80,0,1
addition_instances,M1,2,Repair,1000,0,0.000207931013785781,1,1,80,0,1
addition_instances,M1,2,Repair,1500,0,0.000207931013785781,1,1,80,0,1
addition_instances,M1,2,Repair,2500,0,0.000207931013785781,1,1,80,0,1
addition_instances,M1,3,Restart,500,0.465868077177865,3.80516884657914e-06,1,1,80,0,1
addition_instances,M1,3,Restart,1000,0.413204612780409,3.80516884657914e-06,1,1,80,0,1
