instance,nCustomers,method,seed,budget_factor,budget_fe,actual_fe,total_late,is_feasible,first_feasible_fe,tour_cost,gap_to_bks,feedback_updates
rc_201.1,19,PSO,980101,25,475,475,548.7994,0,NaN,608.6231,NaN,0
rc_201.1,19,FixedRelocate,980101,25,475,475,361.2392,0,NaN,621.3262,NaN,0
rc_201.1,19,StateSwitch,980101,25,475,475,0,1,439,492.7424,0.108432087101273,0
rc_201.1,19,Feedback,980101,25,475,475,361.2392,0,NaN,621.3262,NaN,9
rc_201.1,19,Full,980101,25,475,475,0,1,439,492.7424,0.108432087101273,11
rc_201.1,19,PSO,980101,50,950,950,483.0665,0,NaN,570.6045,NaN,0
rc_201.1,19,FixedRelocate,980101,50,950,950,0,1,879,522.9484,0.176380978089711,0
rc_201.1,19,StateSwitch,980101,50,950,950,0,1,439,453.3787,0.0198828001979573,0
rc_201.1,19,Feedback,980101,50,950,950,0,1,879,522.9484,0.176380978089711,14
rc_201.1,19,Full,980101,50,950,950,0,1,439,453.3787,0.0198828001979573,15
rc_201.1,19,PSO,980101,100,1900,1900,483.0665,0,NaN,557.3209,NaN,0
rc_201.1,19,FixedRelocate,980101,100,1900,1900,0,1,879,449.893,0.0120416610428758,0
rc_201.1,19,StateSwitch,980101,100,1900,1900,0,1,439,444.5425,5.62379088495462e-06,0
rc_201.1,19,Feedback,980101,100,1900,1900,0,1,879,449.893,0.0120416610428758,17
rc_201.1,19,Full,980101,100,1900,1900,0,1,439,444.5425,5.62379088495462e-06,16
rc_201.1,19,PSO,980102,25,475,475,571.3201,0,NaN,625.852,NaN,0
rc_201.1,19,FixedRelocate,980102,25,475,475,330.2015,0,NaN,607.5988,NaN,0
rc_201.1,19,StateSwitch,980102,25,475,475,0,1,318,509.0546,0.145126647770729,0
rc_201.1,19,Feedback,980102,25,475,475,330.2015,0,NaN,607.5988,NaN,10
rc_201.1,19,Full,980102,25,475,475,0,1,318,509.0546,0.145126647770729,8
rc_201.1,19,PSO,980102,50,950,950,445.428,0,NaN,631.6852,NaN,0
rc_201.1,19,FixedRelocate,980102,50,950,950,279.5907,0,NaN,585.814,NaN,0
rc_201.1,19,StateSwitch,980102,50,950,950,0,1,318,470.0866,0.0574674944886848,0
rc_201.1,19,Feedback,980102,50,950,950,279.5907,0,NaN,585.814,NaN,14
rc_201.1,19,Full,980102,50,950,950,0,1,318,470.0866,0.0574674944886848,10
rc_201.1,19,PSO,980102,100,1900,1900,442.1025,0,NaN,625.0887,NaN,0
rc_201.1,19,FixedRelocate,980102,100,1900,1900,0,1,1632,461.1626,0.0373928105457325,0
rc_201.1,19,StateSwitch,980102,100,1900,1900,0,1,318,444.5425,5.62379088495462e-06,0
rc_201.1,19,Feedback,980102,100,1900,1900,0,1,1632,461.1626,0.0373928105457325,21
rc_201.1,19,Full,980102,100,1900,1900,0,1,318,444.5425,5.62379088495462e-06,12
rc_201.1,19,PSO,980103,25,475,475,824.1888,0,NaN,646.3166,NaN,0
rc_201.1,19,FixedRelocate,980103,25,475,475,1557.1674,0,NaN,626.053,NaN,0
rc_201.1,19,StateSwitch,980103,25,475,475,0,1,392,463.7196,0.0431448238628695,0
rc_201.1,19,Feedback,980103,25,475,475,1557.1674,0,NaN,626.053,NaN,8
rc_201.1,19,Full,980103,25,475,475,0,1,392,463.7196,0.0431448238628695,10
rc_201.1,19,PSO,980103,50,950,950,538.8022,0,NaN,654.0876,NaN,0
rc_201.1,19,FixedRelocate,980103,50,950,950,1217.8416,0,NaN,592.5494,NaN,0
rc_201.1,19,StateSwitch,980103,50,950,950,0,1,392,447.2877,0.00618099608584144,0
rc_201.1,19,Feedback,980103,50,950,950,1217.8416,0,NaN,592.5494,NaN,16
rc_201.1,19,Full,980103,50,950,950,0,1,392,447.2877,0.00618099608584144,13
rc_201.1,19,PSO,980103,100,1900,1900,535.7902,0,NaN,651.0756,NaN,0
