level,strategy,budget,event_index,mean_response_time,mean_total_fe,mean_fitness,mean_late,mean_route_disruption,feasibility_rate,mean_relative_gap
Mild,Repair,500,1,0.6767363,1,6948.49151147798,19.477307439221,0,0,0.280826425353952
Mild,Repair,500,2,0.98929,14.5,8785.45398772362,45.5021651325231,0,0,0.748440316579438
Mild,Repair,1000,1,0.6829484,1,6948.49151147798,19.477307439221,0,0,0.623825636442666
Mild,Repair,1000,2,1.0293929,14.5,8785.45398772362,45.5021651325231,0,0,1.72461165010819
Mild,Repair,1500,1,0.69425205,1,6948.49151147798,19.477307439221,0,0,0.563160945699675
Mild,Repair,1500,2,1.00027465,14.5,8785.45398772362,45.5021651325231,0,0,0.852332082935649
Mild,Repair,2500,1,0.68164245,1,6948.49151147798,19.477307439221,0,0,0.959505086249402
Mild,Repair,2500,2,0.99555105,14.5,8785.45398772362,45.5021651325231,0,0,1.36082915333759
Mild,Restart,500,1,0.7371038,480,8213.67033009718,31.2189703020494,0.566666666666667,0,0.480316889327378
Mild,Restart,500,2,0.9804938,480,11099.4765293373,70.9516082658091,0.458333333333333,0,0.974934061965003
Mild,Restart,1000,1,0.7524058,990,4460.73761558149,0,0.533333333333333,1,0.0461705465842913
Mild,Restart,1000,2,1.07261485,990,3898.66196103529,6.30514522670625,0.362179487179488,0,0.219272897623406
Mild,Restart,1500,1,0.7958209,1500,6566.03083660415,19.0265348777247,0.566666666666666,0,0.478316946137747
Mild,Restart,1500,2,1.09442835,1500,7908.17753285239,40.0118093393926,0.67948717948718,0,0.659597461181551
Mild,Restart,2500,1,0.8490013,2490,4459.89418916251,3.95836200278959,0.633333333333333,0.5,0.22702057613296
Mild,Restart,2500,2,1.2067474,2490,13282.2853845782,89.358001546464,0.458333333333333,0,2.58640452529062
Mild,WarmStart,500,1,0.7326884,494.5,5472.8230147168,8.40668175226378,0.233333333333334,0,0
Mild,WarmStart,500,2,1.0136159,491,5569.952528948,16.8812628424282,0.115384615384616,0,0
