level,instance,scenario_seed,algorithm_seed,strategy,budget,event_index,event_time,event_type,event_size,reused_legs,computed_legs,online_leg_time,warm_start_time,routing_or_repair_time,response_time,warm_start_fe,routing_or_repair_fe,total_fe,final_fitness,distance,total_late,obstacle_violation,route_disruption,is_feasible,first_feasible_fe,reference_found,reference_fe,reference_cost,state_x,state_y,state_z,state_time,relative_gap_to_best
Mild,1,3001,7101,Restart,500,1,90,cancel,1,225,47,0.7043157,0,0.048236,0.7525517,0,480,480,6251.83112156706,4870.78585627876,13.810452652883,0,0.666666666666667,0,Inf,0,Inf,3354.80432491796,670.315503600199,260.622649356366,375,90,0.343367025190982
Mild,1,3001,7101,Restart,500,2,150,add,1,144,66,0.9543846,0,0.0329663,0.9873509,0,480,480,6849.0224882783,4028.24041801717,28.2078207026113,0,0.333333333333333,0,Inf,0,Inf,4074.41733688772,174.166919640922,419.696509743778,375,150,0.925666694322804
Mild,1,3001,7102,Restart,1000,1,90,cancel,1,225,47,0.6863047,0,0.0746762,0.7609809,0,990,990,4500.56047881503,4500.56047881503,0,0,0.6,1,837,0,Inf,3354.80432491796,670.315503600199,260.622649356366,375,90,0.0923410931685826
Mild,1,3001,7102,Restart,1000,2,150,add,1,169,71,1.0456684,0,0.0694983,1.1151667,0,990,990,4470.83839817149,3370.35185061533,11.0048654755615,0,0.307692307692308,0,Inf,0,Inf,8642.06528588477,270,700,375,150,0.438545795246812
Mild,1,3001,7103,Restart,1500,1,90,cancel,1,225,47,0.6904513,0,0.104411,0.7948623,0,1500,1500,5213.38078722753,4243.74832908757,9.69632458139955,0,0.733333333333333,0,Inf,0,Inf,3354.80432491796,670.315503600199,260.622649356366,375,90,0.163722899592237
Mild,1,3001,7103,Restart,1500,2,150,add,1,144,66,0.9621363,0,0.0962715,1.0584078,0,1500,1500,7804.88019203273,4265.04448230948,35.3983570972324,0,0.666666666666667,0,Inf,0,Inf,3492.33265184445,260,500,375,150,0.549052871966489
Mild,1,3001,7104,Restart,2500,1,90,cancel,1,225,47,0.6755307,0,0.1723308,0.8478615,0,2490,2490,5587.74569881512,4796.0732982572,7.91672400557917,0,0.533333333333333,0,Inf,0,Inf,3354.80432491796,670.315503600199,260.622649356366,375,90,0.45404115226592
Mild,1,3001,7104,Restart,2500,2,150,add,1,196,76,1.1179555,0,0.1831072,1.3010627,0,2490,2490,12403.6571007628,4229.34950302414,81.7430759773866,0,0.5,0,Inf,0,Inf,11465.3902058376,270,700,375,150,2.84773388617974
Mild,1,3001,7101,WarmStart,500,1,90,cancel,1,225,47,0.7030894,0.0121661,0.0365085,0.751764,46,450,496,4653.85185458029,4367.42668551601,2.86425169064285,0,0.2,0,Inf,0,Inf,3354.80432491796,670.315503600199,260.622649356366,375,90,0
Mild,1,3001,7101,WarmStart,500,2,150,add,1,169,71,1.0443304,0.0078333,0.0287688,1.0809325,72,420,492,3556.7019507947,3509.3924050342,0.473095457604984,0,0.230769230769231,0,Inf,0,Inf,5909.20546628518,610,500,375,150,0
