dataset,level,instance,region,free_count,active_count,actual_fe,fitness,gap_to_witness,is_feasible,repair_incumbent_cost,preprocess_fe
addition_instances,M4,1,k0,4,21,991,3492.62874432733,0,1,3492.62874432733,80
addition_instances,M4,1,k2,6,21,991,3492.62874432733,0,1,3492.62874432733,80
addition_instances,M4,1,k4,8,21,991,3492.62874432733,0,1,3492.62874432733,80
addition_instances,M4,1,k6,10,21,991,3492.62874432733,0,1,3492.62874432733,80
addition_instances,M4,1,k8,12,21,991,3492.62874432733,0,1,3492.62874432733,80
addition_instances,M4,1,k12,16,21,991,3492.62874432733,0,1,3492.62874432733,80
addition_instances,M4,1,Full,21,21,991,3492.62874432733,0,1,3492.62874432733,80
addition_instances,M4,2,k0,4,21,991,3495.49317889264,0,1,3495.49317889264,80
addition_instances,M4,2,k2,6,21,991,3495.49317889264,0,1,3495.49317889264,80
addition_instances,M4,2,k4,8,21,991,3495.49317889264,0,1,3495.49317889264,80
addition_instances,M4,2,k6,10,21,991,3495.49317889264,0,1,3495.49317889264,80
addition_instances,M4,2,k8,12,21,991,3495.49317889264,0,1,3495.49317889264,80
addition_instances,M4,2,k12,16,21,991,3495.49317889264,0,1,3495.49317889264,80
addition_instances,M4,2,Full,21,21,991,3495.49317889264,0,1,3495.49317889264,80
addition_stress_instances,Near,2,k0,2,19,991,4443.97965136658,-0.175414235500226,1,4746.79702247549,39
addition_stress_instances,Near,2,k2,4,19,991,4443.97965136658,-0.175414235500226,1,4746.79702247549,39
addition_stress_instances,Near,2,k4,6,19,991,4443.97965136658,-0.175414235500226,1,4746.79702247549,39
addition_stress_instances,Near,2,k6,8,19,991,4443.97965136658,-0.175414235500226,1,4746.79702247549,39
addition_stress_instances,Near,2,k8,10,19,991,4443.97965136658,-0.175414235500226,1,4746.79702247549,39
addition_stress_instances,Near,2,k12,14,19,991,4443.97965136658,-0.175414235500226,1,4746.79702247549,39
addition_stress_instances,Near,2,Full,19,19,991,4559.1677853511,-0.154040938821489,1,4746.79702247549,39
addition_stress_instances,Near,5,k0,2,19,991,3659.26861720757,-0.121809169033253,1,3659.26861720757,39
