level,instance,scenario_seed,algorithm_seed,event_index,event_time,event_type,event_size,strategy,budget,oracle_status,reference_cost,reused_legs,computed_legs,warm_start_fe,routing_fe,total_fe,response_time,fitness,distance,total_late,obstacle_violation,is_feasible,gap_to_reference,route_disruption
Mild,1,3001,7810,1,90,cancel,1,Restart,500,FEASIBLE,4136.24986877651,289,53,0,480,480,0.0442798,41729.4468465664,6431.69718120602,352.977496653604,0,0,9.08871518173294,0.588235294117647
Mild,1,3001,8310,1,90,cancel,1,Restart,1000,FEASIBLE,4136.24986877651,289,53,0,990,990,0.081932,14233.4633647992,5320.6148597636,89.1284850503559,0,0,2.4411517235078,0.588235294117647
Mild,1,3001,8810,1,90,cancel,1,Restart,1500,FEASIBLE,4136.24986877651,289,53,0,1500,1500,0.123574,19028.0011001119,5631.25401187584,133.96747088236,0,0,3.60030261801865,0.647058823529412
Mild,1,3001,9810,1,90,cancel,1,Restart,2500,FEASIBLE,4136.24986877651,289,53,0,2490,2490,0.2239808,14302.0952040523,5243.76413160349,90.5833107244885,0,0,2.45774449266598,0.705882352941176
Mild,1,3001,7810,1,90,cancel,1,WarmStart,500,FEASIBLE,4136.24986877651,289,53,52,420,472,0.0572289,11758.3663184537,4612.69204923608,71.456742692176,0,0,1.8427601550899,0.117647058823529
Mild,1,3001,8310,1,90,cancel,1,WarmStart,1000,FEASIBLE,4136.24986877651,289,53,48,930,978,0.0855032,12132.3495032584,4654.24573643661,74.7810376682181,0,0,1.93317615911998,0.0588235294117647
Mild,1,3001,8810,1,90,cancel,1,WarmStart,1500,FEASIBLE,4136.24986877651,289,53,53,1440,1493,0.1366408,13656.3974007642,4710.49072881561,89.4590667194863,0,0,2.30163743342802,0.176470588235294
Mild,1,3001,9810,1,90,cancel,1,WarmStart,2500,FEASIBLE,4136.24986877651,289,53,53,2430,2483,0.1890772,13856.050800966,4733.43373168693,91.2261706927908,0,0,2.34990661602961,0.117647058823529
Mild,1,3001,7810,1,90,cancel,1,Repair,500,FEASIBLE,4136.24986877651,289,53,0,1,1,0.003718,17012.1812580993,5137.32104925479,118.748602088445,0,0,3.11294815299238,0
Mild,1,3001,8310,1,90,cancel,1,Repair,1000,FEASIBLE,4136.24986877651,289,53,0,1,1,0.0004181,17012.1812580993,5137.32104925479,118.748602088445,0,0,3.11294815299238,0
Mild,1,3001,8810,1,90,cancel,1,Repair,1500,FEASIBLE,4136.24986877651,289,53,0,1,1,0.0003341,17012.1812580993,5137.32104925479,118.748602088445,0,0,3.11294815299238,0
Mild,1,3001,9810,1,90,cancel,1,Repair,2500,FEASIBLE,4136.24986877651,289,53,0,1,1,0.0004446,17012.1812580993,5137.32104925479,118.748602088445,0,0,3.11294815299238,0
Mild,1,3001,7820,2,150,add,1,Restart,500,UNKNOWN,,196,76,0,480,480,0.0453021,25585.6469129424,4726.88743781896,208.587594751235,0,0,NaN,0.857142857142857
Mild,1,3001,8320,2,150,add,1,Restart,1000,UNKNOWN,,196,76,0,990,990,0.1021413,24453.1002905777,4907.25781401941,195.458424765583,0,0,NaN,0.642857142857143
Mild,1,3001,8820,2,150,add,1,Restart,1500,UNKNOWN,,196,76,0,1500,1500,0.1284158,13680.4367915002,3799.95603987287,98.8048075162735,0,0,NaN,0.357142857142857
Mild,1,3001,9820,2,150,add,1,Restart,2500,UNKNOWN,,196,76,0,2490,2490,0.1804423,11547.0307568084,3904.61402044836,76.4241673636007,0,0,NaN,0.5
Mild,1,3001,7820,2,150,add,1,WarmStart,500,UNKNOWN,,196,76,73,420,493,0.0447998,21189.0339057526,4676.24512080636,165.127887849462,0,0,NaN,0.142857142857143
Mild,1,3001,8320,2,150,add,1,WarmStart,1000,UNKNOWN,,196,76,73,900,973,0.0723883,20815.0507209479,4634.69143360583,161.80359287342,0,0,NaN,0.214285714285714
Mild,1,3001,8820,2,150,add,1,WarmStart,1500,UNKNOWN,,196,76,75,1410,1485,0.1087305,21189.0339057526,4676.24512080636,165.127887849462,0,0,NaN,0.142857142857143
Mild,1,3001,9820,2,150,add,1,WarmStart,2500,UNKNOWN,,196,76,75,2400,2475,0.1759616,21189.0339057526,4676.24512080636,165.127887849462,0,0,NaN,0.142857142857143
Mild,1,3001,7820,2,150,add,1,Repair,500,UNKNOWN,,196,76,0,16,16,0.0060722,24342.851116163,4667.5312212664,196.753198948966,0,0,NaN,0
Mild,1,3001,8320,2,150,add,1,Repair,1000,UNKNOWN,,196,76,0,16,16,0.0021353,24342.851116163,4667.5312212664,196.753198948966,0,0,NaN,0
Mild,1,3001,8820,2,150,add,1,Repair,1500,UNKNOWN,,196,76,0,16,16,0.0018983,24342.851116163,4667.5312212664,196.753198948966,0,0,NaN,0
Mild,1,3001,9820,2,150,add,1,Repair,2500,UNKNOWN,,196,76,0,16,16,0.0012233,24342.851116163,4667.5312212664,196.753198948966,0,0,NaN,0
Mild,2,3002,7910,1,90,cancel,1,Restart,500,FEASIBLE,3506.17280996755,256,50,0,480,480,0.0378364,13595.613508543,5364.82447201559,82.3078903652739,0,0,2.87762219531582,0.625
Mild,2,3002,8410,1,90,cancel,1,Restart,1000,FEASIBLE,3506.17280996755,256,50,0,990,990,0.0755591,8246.34745173095,5194.62100407475,30.517264476562,0,0,1.35195122963927,0.5625
Mild,2,3002,8910,1,90,cancel,1,Restart,1500,FEASIBLE,3506.17280996755,256,50,0,1500,1500,0.1141745,4561.43125352238,4470.81040919866,0.90620844323729,0,0,0.300971600873433,0.625
Mild,2,3002,9910,1,90,cancel,1,Restart,2500,FEASIBLE,3506.17280996755,256,50,0,2490,2490,0.1858199,8860.80816130232,4687.62482726076,41.7318333404156,0,0,1.52720234898643,0.1875
Mild,2,3002,7910,1,90,cancel,1,WarmStart,500,FEASIBLE,3506.17280996755,256,50,50,450,500,0.0405031,5593.2573624657,4435.30778709309,11.5794957537261,0,0,0.595260035833052,0.25
Mild,2,3002,8410,1,90,cancel,1,WarmStart,1000,FEASIBLE,3506.17280996755,256,50,43,930,973,0.0838316,5697.06203563407,4697.93656562099,9.99125470013075,0,0,0.624866298500215,0.1875
Mild,2,3002,8910,1,90,cancel,1,WarmStart,1500,FEASIBLE,3506.17280996755,256,50,49,1440,1489,0.1123495,6669.38383621734,4249.33996224377,24.2004387397357,0,0,0.90218343410149,0.125
Mild,2,3002,9910,1,90,cancel,1,WarmStart,2500,FEASIBLE,3506.17280996755,256,50,46,2430,2476,0.1845,4863.21903183651,4531.16796486148,3.32051066975032,0,0,0.387044876399439,0.3125
Mild,2,3002,7910,1,90,cancel,1,Repair,500,FEASIBLE,3506.17280996755,256,50,0,1,1,0.0010114,7901.04649865668,4495.67249473164,34.0537400392504,0,0,1.25346750627782,0
Mild,2,3002,8410,1,90,cancel,1,Repair,1000,FEASIBLE,3506.17280996755,256,50,0,1,1,0.0001229,7901.04649865668,4495.67249473164,34.0537400392504,0,0,1.25346750627782,0
Mild,2,3002,8910,1,90,cancel,1,Repair,1500,FEASIBLE,3506.17280996755,256,50,0,1,1,9.16e-05,7901.04649865668,4495.67249473164,34.0537400392504,0,0,1.25346750627782,0
Mild,2,3002,9910,1,90,cancel,1,Repair,2500,FEASIBLE,3506.17280996755,256,50,0,1,1,8.02e-05,7901.04649865668,4495.67249473164,34.0537400392504,0,0,1.25346750627782,0
Mild,2,3002,7920,2,150,add,1,Restart,500,UNKNOWN,,196,76,0,480,480,0.0347775,18143.9494512947,4685.80733140306,134.581421198916,0,0,NaN,0.357142857142857
Mild,2,3002,8420,2,150,add,1,Restart,1000,UNKNOWN,,196,76,0,990,990,0.0678738,14939.7584127145,4294.92071445108,106.448376982635,0,0,NaN,0.571428571428571
Mild,2,3002,8920,2,150,add,1,Restart,1500,UNKNOWN,,196,76,0,1500,1500,0.1040109,35008.1214098826,4263.27254349234,307.448488663902,0,0,NaN,0.5
Mild,2,3002,9920,2,150,add,1,Restart,2500,UNKNOWN,,196,76,0,2490,2490,0.1730791,18469.0384351593,4579.63472047168,138.894037146876,0,0,NaN,0.714285714285714
Mild,2,3002,7920,2,150,add,1,WarmStart,500,UNKNOWN,,196,76,72,420,492,0.0357281,11842.8181488023,3950.81624068305,78.920019081192,0,0,NaN,0.0714285714285714
Mild,2,3002,8420,2,150,add,1,WarmStart,1000,UNKNOWN,,196,76,73,900,973,0.0695848,10550.8887897589,4008.22461550629,65.4266417425264,0,0,NaN,0.142857142857143
Mild,2,3002,8920,2,150,add,1,WarmStart,1500,UNKNOWN,,196,76,74,1410,1484,0.1083522,10971.1822639555,4054.92389041702,69.1625837353847,0,0,NaN,0.142857142857143
Mild,2,3002,9920,2,150,add,1,WarmStart,2500,UNKNOWN,,196,76,74,2400,2474,0.1681801,11505.9573744319,4114.34334713662,73.916140272953,0,0,NaN,0.0714285714285714
