instance,route_index,method,source_node,late_source,propagation_source,source_disagreement,late_before,late_after,relative_late_reduction,reaches_feasibility,source_fe
rc_201.1,1,Global,3,15,15,0,9860.0095,9421.9492,0.0444279795065107,0,18
rc_201.1,1,LateOnly,15,15,15,0,9860.0095,8761.9864,0.111361261873024,0,18
rc_201.1,1,Propagation,15,15,15,0,9860.0095,8761.9864,0.111361261873024,0,18
rc_201.1,2,Global,13,19,19,0,6584.1817,6548.127,0.00547595762735415,0,18
rc_201.1,2,LateOnly,19,19,19,0,6584.1817,5670.3633,0.13878997294379,0,18
rc_201.1,2,Propagation,19,19,19,0,6584.1817,5670.3633,0.13878997294379,0,18
rc_201.1,3,Global,11,14,14,0,6323.5175,5377.023,0.14967848195249,0,18
rc_201.1,3,LateOnly,14,14,14,0,6323.5175,5400.6866,0.145936324205634,0,18
rc_201.1,3,Propagation,14,14,14,0,6323.5175,5400.6866,0.145936324205634,0,18
rc_201.1,4,Global,8,15,15,0,9174.1729,8676.1036,0.0542903764109348,0,18
rc_201.1,4,LateOnly,15,15,15,0,9174.1729,8042.7827,0.123323400630481,0,18
rc_201.1,4,Propagation,15,15,15,0,9174.1729,8042.7827,0.123323400630481,0,18
rc_201.1,5,Global,11,14,14,0,7425.4216,6402.5839,0.137748097697241,0,18
rc_201.1,5,LateOnly,14,14,14,0,7425.4216,6516.2468,0.122440832181165,0,18
rc_201.1,5,Propagation,14,14,14,0,7425.4216,6516.2468,0.122440832181165,0,18
rc_201.1,6,Global,18,5,5,0,8884.7595,8214.5521,0.0754333755460685,0,18
rc_201.1,6,LateOnly,5,5,5,0,8884.7595,7951.4509,0.105046017283867,0,18
rc_201.1,6,Propagation,5,5,5,0,8884.7595,7951.4509,0.105046017283867,0,18
rc_201.1,7,Global,8,14,14,0,8057.0444,7317.1727,0.0918291700117725,0,18
rc_201.1,7,LateOnly,14,14,14,0,8057.0444,7020.8848,0.128602940304015,0,18
rc_201.1,7,Propagation,14,14,14,0,8057.0444,7020.8848,0.128602940304015,0,18
rc_201.1,8,Global,5,8,8,0,8299.6321,6990.5629,0.157726171982973,0,18
rc_201.1,8,LateOnly,8,8,8,0,8299.6321,7335.4131,0.116176113396641,0,18
rc_201.1,8,Propagation,8,8,8,0,8299.6321,7335.4131,0.116176113396641,0,18
rc_201.1,9,Global,20,15,15,0,3896.2077,3489.6199,0.104354755009595,0,18
rc_201.1,9,LateOnly,15,15,15,0,3896.2077,3131.3335,0.196312480979903,0,18
rc_201.1,9,Propagation,15,15,15,0,3896.2077,3131.3335,0.196312480979903,0,18
rc_201.1,10,Global,11,6,6,0,3944.4242,3302.54,0.162732040838812,0,18
rc_201.1,10,LateOnly,6,6,6,0,3944.4242,3087.6613,0.217208610574897,0,18
rc_201.1,10,Propagation,6,6,6,0,3944.4242,3087.6613,0.217208610574897,0,18
rc_201.1,11,Global,6,10,10,0,5868.5977,4943.3619,0.157658753810983,0,18
rc_201.1,11,LateOnly,10,10,10,0,5868.5977,5030.5047,0.142809755045912,0,18
rc_201.1,11,Propagation,10,10,10,0,5868.5977,5030.5047,0.142809755045912,0,18
rc_201.1,12,Global,6,10,10,0,5372.8611,4478.3381,0.166489135555728,0,18
rc_201.1,12,LateOnly,10,10,10,0,5372.8611,4529.7063,0.156928456609459,0,18
rc_201.1,12,Propagation,10,10,10,0,5372.8611,4529.7063,0.156928456609459,0,18
