source,strategy,budget,warm_start_fe,routing_fe,total_fe,fitness,distance,late,is_feasible
c101,Restart,500,0,480,480,1643.17023402092,1643.17023402092,0,1
c101,WarmStart,500,73,420,493,1643.17023402092,1643.17023402092,0,1
c101,Repair,500,0,12,12,1643.17023402092,1643.17023402092,0,1
c101,Restart,1000,0,990,990,1643.17023402092,1643.17023402092,0,1
c101,WarmStart,1000,69,930,999,1643.17023402092,1643.17023402092,0,1
c101,Repair,1000,0,12,12,1643.17023402092,1643.17023402092,0,1
r101,Restart,500,0,480,480,689.431873009063,689.431873009063,0,1
r101,WarmStart,500,46,450,496,689.431873009063,689.431873009063,0,1
r101,Repair,500,0,6,6,689.431873009063,689.431873009063,0,1
r101,Restart,1000,0,990,990,3981.3633323792,775.96205377559,32.0540127860361,0
r101,WarmStart,1000,40,960,1000,689.431873009063,689.431873009063,0,1
r101,Repair,1000,0,6,6,689.431873009063,689.431873009063,0,1
rc101,Restart,500,0,480,480,958.270803060634,958.270803060634,0,1
rc101,WarmStart,500,22,450,472,958.270803060634,958.270803060634,0,1
rc101,Repair,500,0,5,5,958.270803060634,958.270803060634,0,1
rc101,Restart,1000,0,990,990,958.270803060634,958.270803060634,0,1
rc101,WarmStart,1000,23,960,983,958.270803060634,958.270803060634,0,1
rc101,Repair,1000,0,5,5,958.270803060634,958.270803060634,0,1
