instance,nCustomers,seed,first_feasible_fe,branch,first_feasible_cost,final_cost,post_feasible_gap,is_feasible,local_search_fe
rc_201.1,19,970101,400,AlwaysPropagation,575.484,567.6761,-0.0135675361956197,1,95
rc_201.1,19,970101,400,StateSwitchToGlobal,575.484,563.1692,-0.0213990310764506,1,95
rc_201.1,19,970102,354,AlwaysPropagation,572.6056,558.5964,-0.0244657055397294,1,95
rc_201.1,19,970102,354,StateSwitchToGlobal,572.6056,563.0132,-0.0167521938311466,1,95
rc_201.1,19,970103,358,AlwaysPropagation,506.9225,499.4246,-0.0147910183509315,1,95
rc_201.1,19,970103,358,StateSwitchToGlobal,506.9225,475.7514,-0.0614908590563647,1,95
rc_201.1,19,970104,319,AlwaysPropagation,548.1068,493.5128,-0.0996046755851233,1,95
rc_201.1,19,970104,319,StateSwitchToGlobal,548.1068,493.5128,-0.0996046755851233,1,95
rc_201.1,19,970105,552,AlwaysPropagation,568.5036,506.9024,-0.108356745674082,1,95
rc_201.1,19,970105,552,StateSwitchToGlobal,568.5036,506.9024,-0.108356745674082,1,95
rc_201.1,19,970106,435,AlwaysPropagation,570.1817,484.3391,-0.150553060541929,1,95
rc_201.1,19,970106,435,StateSwitchToGlobal,570.1817,566.1811,-0.00701635987265106,1,95
rc_201.1,19,970107,433,AlwaysPropagation,463.4418,463.4418,0,1,95
rc_201.1,19,970107,433,StateSwitchToGlobal,463.4418,457.9636,-0.0118206860063119,1,95
rc_201.1,19,970108,282,AlwaysPropagation,591.4996,586.6367,-0.0082213073347809,1,95
rc_201.1,19,970108,282,StateSwitchToGlobal,591.4996,572.2219,-0.0325912308309253,1,95
rc_201.1,19,970109,276,AlwaysPropagation,527.7885,466.1873,-0.116715691986468,1,95
rc_201.1,19,970109,276,StateSwitchToGlobal,527.7885,521.0773,-0.0127156995652614,1,95
rc_201.1,19,970110,353,AlwaysPropagation,479.6846,479.6846,0,1,95
rc_201.1,19,970110,353,StateSwitchToGlobal,479.6846,451.2624,-0.0592518500698164,1,95
rc_201.3,31,970207,1472,AlwaysPropagation,867.9535,858.8883,-0.0104443383199676,1,155
rc_201.3,31,970207,1472,StateSwitchToGlobal,867.9535,847.1766,-0.0239378031196371,1,155
rc_201.3,31,970209,1427,AlwaysPropagation,846.6712,846.6712,0,1,155
rc_201.3,31,970209,1427,StateSwitchToGlobal,846.6712,846.6712,0,1,155
