stress_level,instance,scenario_seed,strategy,budget,warm_start_fe,routing_fe,total_fe,response_time,fitness,distance,total_late,is_feasible,gap_to_reference,route_disruption,gap_to_bks,bks_cost
Near,1,8101,Restart,500,0,480,480,0.0548292,5742.1869905214,5742.1869905214,0,1,0.334938270030469,0.764705882352941,0.64442329158056,3491.91538451284
Near,1,8101,Restart,1000,0,990,990,0.0887169,5071.94293957551,5071.94293957551,0,1,0.179120558878801,0.705882352941176,0.452481627152343,3491.91538451284
Near,1,8101,Restart,1500,0,1500,1500,0.1364207,5091.18020573323,5091.18020573323,0,1,0.183592820553158,0.588235294117647,0.457990714297765,3491.91538451284
Near,1,8101,Restart,2500,0,2490,2490,0.2173516,4002.35756109782,4002.35756109782,0,1,-0.0695356512292638,0.529411764705882,0.146178277643515,3491.91538451284
Near,1,8101,WarmStart,500,200,300,500,0.0674838,3491.91538451284,3491.91538451284,0,1,-0.188202771837795,0,0,3491.91538451284
Near,1,8101,WarmStart,1000,200,780,980,0.0869582,3491.91538451284,3491.91538451284,0,1,-0.188202771837795,0,0,3491.91538451284
Near,1,8101,WarmStart,1500,200,1290,1490,0.1502198,3491.91538451284,3491.91538451284,0,1,-0.188202771837795,0,0,3491.91538451284
Near,1,8101,WarmStart,2500,200,2280,2480,0.2216561,3491.91538451284,3491.91538451284,0,1,-0.188202771837795,0,0,3491.91538451284
Near,1,8101,Repair,500,0,38,38,0.0101767,3491.91538451284,3491.91538451284,0,1,-0.188202771837795,0,0,3491.91538451284
Near,1,8101,Repair,1000,0,38,38,0.0040104,3491.91538451284,3491.91538451284,0,1,-0.188202771837795,0,0,3491.91538451284
Near,1,8101,Repair,1500,0,38,38,0.0041314,3491.91538451284,3491.91538451284,0,1,-0.188202771837795,0,0,3491.91538451284
Near,1,8101,Repair,2500,0,38,38,0.0034185,3491.91538451284,3491.91538451284,0,1,-0.188202771837795,0,0,3491.91538451284
Near,2,8102,Restart,500,0,480,480,0.0448532,6321.2208120938,6321.2208120938,0,1,0.172910117693581,0.647058823529412,0.544711507915176,4092.1691718509
Near,2,8102,Restart,1000,0,990,990,0.0860484,6518.66715996185,6518.66715996185,0,1,0.209546524805481,0.588235294117647,0.592961308834023,4092.1691718509
Near,2,8102,Restart,1500,0,1500,1500,0.1317646,5465.5362294064,5465.5362294064,0,1,0.0141368151270443,0.764705882352941,0.335608573321597,4092.1691718509
Near,2,8102,Restart,2500,0,2490,2490,0.2148373,4092.1691718509,4092.1691718509,0,1,-0.2406930927338,0.588235294117647,0,4092.1691718509
Near,2,8102,WarmStart,500,200,300,500,0.0493858,4443.97965136658,4443.97965136658,0,1,-0.175414235500226,0,0.0859716362499634,4092.1691718509
Near,2,8102,WarmStart,1000,200,780,980,0.085663,4443.97965136658,4443.97965136658,0,1,-0.175414235500226,0,0.0859716362499634,4092.1691718509
Near,2,8102,WarmStart,1500,200,1290,1490,0.1370306,4443.97965136658,4443.97965136658,0,1,-0.175414235500226,0,0.0859716362499634,4092.1691718509
Near,2,8102,WarmStart,2500,200,2280,2480,0.2096243,4443.97965136658,4443.97965136658,0,1,-0.175414235500226,0,0.0859716362499634,4092.1691718509
Near,2,8102,Repair,500,0,38,38,0.0060994,4746.79702247549,4287.10953256981,4.59687489905673,0,-0.119226108404984,0,0.159970867071583,4092.1691718509
Near,2,8102,Repair,1000,0,38,38,0.0032949,4746.79702247549,4287.10953256981,4.59687489905673,0,-0.119226108404984,0,0.159970867071583,4092.1691718509
Near,2,8102,Repair,1500,0,38,38,0.0030693,4746.79702247549,4287.10953256981,4.59687489905673,0,-0.119226108404984,0,0.159970867071583,4092.1691718509
Near,2,8102,Repair,2500,0,38,38,0.0028906,4746.79702247549,4287.10953256981,4.59687489905673,0,-0.119226108404984,0,0.159970867071583,4092.1691718509
Near,3,8103,Restart,500,0,480,480,0.049074,6874.89632292778,6874.89632292778,0,1,0.46471452831274,0.705882352941176,0.968305193531258,3492.79997102167
Near,3,8103,Restart,1000,0,990,990,0.0873242,5739.12158738521,5739.12158738521,0,1,0.222734769215618,0.470588235294118,0.643129190048199,3492.79997102167
Near,3,8103,Restart,1500,0,1500,1500,0.1341662,4611.81405122251,4611.81405122251,0,1,-0.0174410310487798,0.470588235294118,0.320377373306471,3492.79997102167
Near,3,8103,Restart,2500,0,2490,2490,0.2320369,4694.11447756097,4694.11447756097,0,1,9.32886677584027e-05,0.588235294117647,0.343940253236977,3492.79997102167
Near,3,8103,WarmStart,500,200,300,500,0.0462456,3492.79997102167,3492.79997102167,0,1,-0.255849888967191,0,0,3492.79997102167
Near,3,8103,WarmStart,1000,200,780,980,0.0942054,3492.79997102167,3492.79997102167,0,1,-0.255849888967191,0,0,3492.79997102167
Near,3,8103,WarmStart,1500,200,1290,1490,0.1290692,3492.79997102167,3492.79997102167,0,1,-0.255849888967191,0,0,3492.79997102167
Near,3,8103,WarmStart,2500,200,2280,2480,0.216378,3492.79997102167,3492.79997102167,0,1,-0.255849888967191,0,0,3492.79997102167
Near,3,8103,Repair,500,0,38,38,0.0029355,3492.79997102167,3492.79997102167,0,1,-0.255849888967191,0,0,3492.79997102167
Near,3,8103,Repair,1000,0,38,38,0.002827,3492.79997102167,3492.79997102167,0,1,-0.255849888967191,0,0,3492.79997102167
Near,3,8103,Repair,1500,0,38,38,0.0028278,3492.79997102167,3492.79997102167,0,1,-0.255849888967191,0,0,3492.79997102167
Near,3,8103,Repair,2500,0,38,38,0.0028753,3492.79997102167,3492.79997102167,0,1,-0.255849888967191,0,0,3492.79997102167
Near,4,8104,Restart,500,0,480,480,0.0434622,6516.47973626127,6516.47973626127,0,1,0.336288229711388,0.647058823529412,0.747876173584225,3728.2273394107
Near,4,8104,Restart,1000,0,990,990,0.0868671,4687.99235027148,4687.99235027148,0,1,-0.038666695488111,0.647058823529412,0.257431997430845,3728.2273394107
Near,4,8104,Restart,1500,0,1500,1500,0.1345775,4637.00182800802,4637.00182800802,0,1,-0.0491229598340801,0.588235294117647,0.243755116269537,3728.2273394107
Near,4,8104,Restart,2500,0,2490,2490,0.2180585,3754.14252846521,3754.14252846521,0,1,-0.230164647711279,0.647058823529412,0.00695107532219487,3728.2273394107
Near,4,8104,WarmStart,500,200,300,500,0.0445199,3898.18821274568,3898.18821274568,0,1,-0.20062622202208,0,0.0455875830152152,3728.2273394107
Near,4,8104,WarmStart,1000,200,780,980,0.0846613,3728.2273394107,3728.2273394107,0,1,-0.235478891521718,0,0,3728.2273394107
Near,4,8104,WarmStart,1500,200,1290,1490,0.1325356,3728.2273394107,3728.2273394107,0,1,-0.235478891521718,0,0,3728.2273394107
Near,4,8104,WarmStart,2500,200,2280,2480,0.224257,3728.2273394107,3728.2273394107,0,1,-0.235478891521718,0,0,3728.2273394107
Near,4,8104,Repair,500,0,38,38,0.0031249,3748.57443156662,3748.57443156662,0,1,-0.231306457806393,0,0.00545757817417225,3728.2273394107
Near,4,8104,Repair,1000,0,38,38,0.0035334,3748.57443156662,3748.57443156662,0,1,-0.231306457806393,0,0.00545757817417225,3728.2273394107
Near,4,8104,Repair,1500,0,38,38,0.0030473,3748.57443156662,3748.57443156662,0,1,-0.231306457806393,0,0.00545757817417225,3728.2273394107
Near,4,8104,Repair,2500,0,38,38,0.0035506,3748.57443156662,3748.57443156662,0,1,-0.231306457806393,0,0.00545757817417225,3728.2273394107
Near,5,8105,Restart,500,0,480,480,0.0429751,6347.82445176301,6347.82445176301,0,1,0.523419517198178,0.588235294117647,0.734724917955629,3659.26861720757
Near,5,8105,Restart,1000,0,990,990,0.0868513,5307.64575408513,5307.64575408513,0,1,0.273786191409505,0.647058823529412,0.450466284198468,3659.26861720757
Near,5,8105,Restart,1500,0,1500,1500,0.1297221,4892.10369823303,4892.10369823303,0,1,0.17405991779998,0.470588235294118,0.336907510759964,3659.26861720757
Near,5,8105,Restart,2500,0,2490,2490,0.2189629,4685.88143029866,4685.88143029866,0,1,0.124568469156526,0.470588235294118,0.28055136708562,3659.26861720757
Near,5,8105,WarmStart,500,200,300,500,0.048388,3659.26861720757,3659.26861720757,0,1,-0.121809169033253,0,0,3659.26861720757
Near,5,8105,WarmStart,1000,200,780,980,0.0871726,3659.26861720757,3659.26861720757,0,1,-0.121809169033253,0,0,3659.26861720757
Near,5,8105,WarmStart,1500,200,1290,1490,0.1315487,3659.26861720757,3659.26861720757,0,1,-0.121809169033253,0,0,3659.26861720757
Near,5,8105,WarmStart,2500,200,2280,2480,0.213613,3659.26861720757,3659.26861720757,0,1,-0.121809169033253,0,0,3659.26861720757
Near,5,8105,Repair,500,0,38,38,0.0029816,3659.26861720757,3659.26861720757,0,1,-0.121809169033253,0,0,3659.26861720757
Near,5,8105,Repair,1000,0,38,38,0.0028885,3659.26861720757,3659.26861720757,0,1,-0.121809169033253,0,0,3659.26861720757
Near,5,8105,Repair,1500,0,38,38,0.0028177,3659.26861720757,3659.26861720757,0,1,-0.121809169033253,0,0,3659.26861720757
Near,5,8105,Repair,2500,0,38,38,0.0027893,3659.26861720757,3659.26861720757,0,1,-0.121809169033253,0,0,3659.26861720757
Far,1,8201,Restart,500,0,480,480,0.043678,8016.09878116862,8016.09878116862,0,1,0.565963798606236,0.647058823529412,0.946146184442726,4118.96025347346
Far,1,8201,Restart,1000,0,990,990,0.0875076,5813.52878736036,5813.52878736036,0,1,0.135686556726081,0.705882352941176,0.411406867171853,4118.96025347346
Far,1,8201,Restart,1500,0,1500,1500,0.15908,5246.36492687148,5246.36492687148,0,1,0.0248897592253075,0.647058823529412,0.273710986273124,4118.96025347346
Far,1,8201,Restart,2500,0,2490,2490,0.221178,5298.32787621062,5298.32787621062,0,1,0.0350408439056835,0.588235294117647,0.28632653634922,4118.96025347346
Far,1,8201,WarmStart,500,200,300,500,0.0447978,4118.96025347346,4118.96025347346,0,1,-0.195351402107213,0,0,4118.96025347346
Far,1,8201,WarmStart,1000,200,780,980,0.0838387,4118.96025347346,4118.96025347346,0,1,-0.195351402107213,0,0,4118.96025347346
Far,1,8201,WarmStart,1500,200,1290,1490,0.1275163,4118.96025347346,4118.96025347346,0,1,-0.195351402107213,0,0,4118.96025347346
Far,1,8201,WarmStart,2500,200,2280,2480,0.2162403,4118.96025347346,4118.96025347346,0,1,-0.195351402107213,0,0,4118.96025347346
Far,1,8201,Repair,500,0,38,38,0.0029346,4118.96025347346,4118.96025347346,0,1,-0.195351402107213,0,0,4118.96025347346
Far,1,8201,Repair,1000,0,38,38,0.0028501,4118.96025347346,4118.96025347346,0,1,-0.195351402107213,0,0,4118.96025347346
Far,1,8201,Repair,1500,0,38,38,0.0027945,4118.96025347346,4118.96025347346,0,1,-0.195351402107213,0,0,4118.96025347346
Far,1,8201,Repair,2500,0,38,38,0.0027857,4118.96025347346,4118.96025347346,0,1,-0.195351402107213,0,0,4118.96025347346
Far,2,8202,Restart,500,0,480,480,0.0498108,7400.07699708334,7400.07699708334,0,1,0.51041593103398,0.588235294117647,0.803552498745236,4103.05605311279
Far,2,8202,Restart,1000,0,990,990,0.1044429,5960.36791238564,5960.36791238564,0,1,0.216559591641992,0.588235294117647,0.452665485245759,4103.05605311279
Far,2,8202,Restart,1500,0,1500,1500,0.1326236,4950.97080920285,4950.97080920285,0,1,0.0105334292131765,0.588235294117647,0.206654441254047,4103.05605311279
Far,2,8202,Restart,2500,0,2490,2490,0.2229531,5468.34539538195,5468.34539538195,0,1,0.116133792234402,0.470588235294118,0.332749376220045,4103.05605311279
Far,2,8202,WarmStart,500,200,300,500,0.0536741,4103.05605311279,4103.05605311279,0,1,-0.162532872159361,0,0,4103.05605311279
Far,2,8202,WarmStart,1000,200,780,980,0.0874333,4103.05605311279,4103.05605311279,0,1,-0.162532872159361,0,0,4103.05605311279
Far,2,8202,WarmStart,1500,200,1290,1490,0.1275266,4103.05605311279,4103.05605311279,0,1,-0.162532872159361,0,0,4103.05605311279
Far,2,8202,WarmStart,2500,200,2280,2480,0.2225532,4103.05605311279,4103.05605311279,0,1,-0.162532872159361,0,0,4103.05605311279
Far,2,8202,Repair,500,0,38,38,0.0030334,4103.05605311279,4103.05605311279,0,1,-0.162532872159361,0,0,4103.05605311279
Far,2,8202,Repair,1000,0,38,38,0.0032997,4103.05605311279,4103.05605311279,0,1,-0.162532872159361,0,0,4103.05605311279
Far,2,8202,Repair,1500,0,38,38,0.0030992,4103.05605311279,4103.05605311279,0,1,-0.162532872159361,0,0,4103.05605311279
Far,2,8202,Repair,2500,0,38,38,0.0030996,4103.05605311279,4103.05605311279,0,1,-0.162532872159361,0,0,4103.05605311279
Far,3,8203,Restart,500,0,480,480,0.0470008,6919.97751442419,6919.97751442419,0,1,0.583440528337768,0.705882352941176,0.672679481860696,4137.06127770897
Far,3,8203,Restart,1000,0,990,990,0.0954634,5698.9076888365,5698.9076888365,0,1,0.304033341575143,0.352941176470588,0.377525568582453,4137.06127770897
Far,3,8203,Restart,1500,0,1500,1500,0.1528488,5633.1483132488,5633.1483132488,0,1,0.288986174123125,0.647058823529412,0.361630378452682,4137.06127770897
