instance,nCustomers,method,seed,checkpoint_fe,actual_fe,total_late,is_feasible,first_feasible_fe,tour_cost
rc_201.1,19,RandomKeyPSO,930101,475,460,894.8605,0,NaN,523.6548
rc_201.1,19,RandomKeyPSO,930101,950,950,894.8605,0,NaN,507.323
rc_201.1,19,PSO_GlobalRelocate,930101,475,470,899.9649,0,NaN,660.1161
rc_201.1,19,PSO_GlobalRelocate,930101,950,950,123.9772,0,NaN,512.8498
rc_201.1,19,PSO_FeasibilityRelocate,930101,475,470,36.4151,0,560,499.4552
rc_201.1,19,PSO_FeasibilityRelocate,930101,950,950,0,1,560,457.0792
rc_201.1,19,RandomKeyPSO,930102,475,460,1304.7903,0,NaN,609.0936
rc_201.1,19,RandomKeyPSO,930102,950,950,1096.1256,0,NaN,640.705
rc_201.1,19,PSO_GlobalRelocate,930102,475,470,1293.7408,0,NaN,608.8837
rc_201.1,19,PSO_GlobalRelocate,930102,950,950,153.1403,0,NaN,504.4391
rc_201.1,19,PSO_FeasibilityRelocate,930102,475,470,0,1,380,488.8536
rc_201.1,19,PSO_FeasibilityRelocate,930102,950,950,0,1,380,474.2826
rc_201.1,19,RandomKeyPSO,930103,475,460,2404.5165,0,NaN,695.8566
rc_201.1,19,RandomKeyPSO,930103,950,950,2404.5165,0,NaN,695.8566
rc_201.1,19,PSO_GlobalRelocate,930103,475,470,850.6161,0,NaN,697.3665
rc_201.1,19,PSO_GlobalRelocate,930103,950,950,731.6578,0,NaN,703.7415
rc_201.1,19,PSO_FeasibilityRelocate,930103,475,470,202.0826,0,605,596.3072
rc_201.1,19,PSO_FeasibilityRelocate,930103,950,950,0,1,605,539.0608
rc_201.1,19,RandomKeyPSO,930104,475,460,1075.0165,0,NaN,693.8817
rc_201.1,19,RandomKeyPSO,930104,950,950,760.6734,0,NaN,660.5135
rc_201.1,19,PSO_GlobalRelocate,930104,475,470,1241.6022,0,695,730.75
rc_201.1,19,PSO_GlobalRelocate,930104,950,950,0,1,695,522.9343
rc_201.1,19,PSO_FeasibilityRelocate,930104,475,470,0,1,470,538.8485
rc_201.1,19,PSO_FeasibilityRelocate,930104,950,950,0,1,470,459.846
rc_201.1,19,RandomKeyPSO,930105,475,460,770.3351,0,NaN,649.136
rc_201.1,19,RandomKeyPSO,930105,950,950,509.7971,0,NaN,573.2155
rc_201.1,19,PSO_GlobalRelocate,930105,475,470,542.7497,0,NaN,637.7108
rc_201.1,19,PSO_GlobalRelocate,930105,950,950,259.8433,0,NaN,555.007
