instance,nNodes,nCustomers,method,run,seed,maxFE,functionEvaluations,penaltyCost,tourCost,totalLate,isFeasible,referenceTourCost,gapToReference,firstFeasibleFE,localSearchFE,relocateFE,swapFE,twoOptFE
rc_201.1,20,19,RandomKeyPSO,1,1001,950,950,474180.2519,592.8519,473.5874,0,444.54,NaN,Inf,0,0,0,0
rc_201.1,20,19,RandomKeyPSO,2,1002,950,950,1284366.0475,629.4475,1283.7366,0,444.54,NaN,Inf,0,0,0,0
rc_201.1,20,19,RandomKeyPSO,3,1003,950,950,870739.5584,586.9584,870.1526,0,444.54,NaN,Inf,0,0,0,0
rc_201.1,20,19,RandomKeyPSO,4,1004,950,950,391720.8104,573.3104,391.1475,0,444.54,NaN,Inf,0,0,0,0
rc_201.1,20,19,RandomKeyPSO,5,1005,950,950,456.8043,456.8043,0,1,444.54,0.0275887434201646,832,0,0,0,0
rc_201.1,20,19,RandomKeyPSO,6,1006,950,950,297870.1657,580.9657,297.2892,0,444.54,NaN,Inf,0,0,0,0
rc_201.1,20,19,RandomKeyPSO,7,1007,950,950,1491749.5223,588.4223,1491.1611,0,444.54,NaN,Inf,0,0,0,0
rc_201.1,20,19,RandomKeyPSO,8,1008,950,950,379976.1071,591.0071,379.3851,0,444.54,NaN,Inf,0,0,0,0
rc_201.1,20,19,RandomKeyPSO,9,1009,950,950,887449.8304,642.9304,886.8069,0,444.54,NaN,Inf,0,0,0,0
rc_201.1,20,19,RandomKeyPSO,10,1010,950,950,959264.1268,676.5268,958.5876,0,444.54,NaN,Inf,0,0,0,0
rc_201.1,20,19,PSO_Relocate,1,1001,950,950,514.1315,514.1315,0,1,444.54,0.15654721734827,796,510,510,0,0
rc_201.1,20,19,PSO_Relocate,2,1002,950,950,451.9991,451.9991,0,1,444.54,0.0167793674360012,703,510,510,0,0
rc_201.1,20,19,PSO_Relocate,3,1003,950,950,307648.6994,521.1994,307.1275,0,444.54,NaN,Inf,510,510,0,0
rc_201.1,20,19,PSO_Relocate,4,1004,950,950,514.7543,514.7543,0,1,444.54,0.157948216133531,515,510,510,0,0
rc_201.1,20,19,PSO_Relocate,5,1005,950,950,546.5283,546.5283,0,1,444.54,0.229424348765016,920,510,510,0,0
rc_201.1,20,19,PSO_Relocate,6,1006,950,950,515.9155,515.9155,0,1,444.54,0.160560354523777,695,510,510,0,0
rc_201.1,20,19,PSO_Relocate,7,1007,950,950,517.1208,517.1208,0,1,444.54,0.163271696585234,740,510,510,0,0
rc_201.1,20,19,PSO_Relocate,8,1008,950,950,455.7662,455.7662,0,1,444.54,0.0252535204930937,695,510,510,0,0
rc_201.1,20,19,PSO_Relocate,9,1009,950,950,518.2054,518.2054,0,1,444.54,0.165711522022765,740,510,510,0,0
rc_201.1,20,19,PSO_Relocate,10,1010,950,950,545.381,545.381,0,1,444.54,0.22684347865209,740,510,510,0,0
rc_201.1,20,19,PSO_Swap,1,1001,950,950,97518.7598,531.1598,96.9876,0,444.54,NaN,Inf,510,0,510,0
rc_201.1,20,19,PSO_Swap,2,1002,950,950,92337.0409000002,581.8409,91.7552000000002,0,444.54,NaN,Inf,510,0,510,0
rc_201.1,20,19,PSO_Swap,3,1003,950,950,252337.3385,556.5385,251.7808,0,444.54,NaN,Inf,510,0,510,0
rc_201.1,20,19,PSO_Swap,4,1004,950,950,510.4106,510.4106,0,1,444.54,0.148176991946732,740,510,0,510,0
rc_201.1,20,19,PSO_Swap,5,1005,950,950,97484.5407000001,496.9407,96.9876,0,444.54,NaN,Inf,510,0,510,0
rc_201.1,20,19,PSO_Swap,6,1006,950,950,712664.6904,638.6904,712.026,0,444.54,NaN,Inf,510,0,510,0
rc_201.1,20,19,PSO_Swap,7,1007,950,950,293295.8806,604.9806,292.6909,0,444.54,NaN,Inf,510,0,510,0
rc_201.1,20,19,PSO_Swap,8,1008,950,950,578.5544,578.5544,0,1,444.54,0.301467584469339,920,510,0,510,0
rc_201.1,20,19,PSO_Swap,9,1009,950,950,121936.2167,565.3167,121.3709,0,444.54,NaN,Inf,510,0,510,0
rc_201.1,20,19,PSO_Swap,10,1010,950,950,321325.1627,543.4627,320.7817,0,444.54,NaN,Inf,510,0,510,0
rc_201.1,20,19,PSO_2Opt,1,1001,950,950,311230.9466,557.8466,310.6731,0,444.54,NaN,Inf,510,0,0,510
rc_201.1,20,19,PSO_2Opt,2,1002,950,950,227468.2253,575.5253,226.8927,0,444.54,NaN,Inf,510,0,0,510
rc_201.1,20,19,PSO_2Opt,3,1003,950,950,572351.7758,598.7758,571.753,0,444.54,NaN,Inf,510,0,0,510
rc_201.1,20,19,PSO_2Opt,4,1004,950,950,504.6836,504.6836,0,1,444.54,0.135294011787466,650,510,0,0,510
rc_201.1,20,19,PSO_2Opt,5,1005,950,950,216509.1373,515.6373,215.9935,0,444.54,NaN,Inf,510,0,0,510
rc_201.1,20,19,PSO_2Opt,6,1006,950,950,191467.9354,566.2354,190.9017,0,444.54,NaN,Inf,510,0,0,510
rc_201.1,20,19,PSO_2Opt,7,1007,950,950,576913.1934,677.9934,576.2352,0,444.54,NaN,Inf,510,0,0,510
rc_201.1,20,19,PSO_2Opt,8,1008,950,950,364352.9586,550.2586,363.8027,0,444.54,NaN,Inf,510,0,0,510
rc_201.1,20,19,PSO_2Opt,9,1009,950,950,353436.3892,516.1892,352.9202,0,444.54,NaN,Inf,510,0,0,510
rc_201.1,20,19,PSO_2Opt,10,1010,950,950,1102602.1055,600.3055,1102.0018,0,444.54,NaN,Inf,510,0,0,510
rc_201.1,20,19,PSO_Mixed,1,1001,950,950,521.9747,521.9747,0,1,444.54,0.174190624015837,950,510,171,170,169
rc_201.1,20,19,PSO_Mixed,2,1002,950,950,573.0476,573.0476,0,1,444.54,0.28907994781122,950,510,172,169,169
rc_201.1,20,19,PSO_Mixed,3,1003,950,950,408969.1197,544.3197,408.4248,0,444.54,NaN,Inf,510,169,170,171
rc_201.1,20,19,PSO_Mixed,4,1004,950,950,515.363,515.363,0,1,444.54,0.159317496738201,560,510,169,170,171
rc_201.1,20,19,PSO_Mixed,5,1005,950,950,86608.6008000001,617.9008,85.9907000000001,0,444.54,NaN,Inf,510,172,170,168
rc_201.1,20,19,PSO_Mixed,6,1006,950,950,489.9911,489.9911,0,1,444.54,0.102242992756557,920,510,175,168,167
rc_201.1,20,19,PSO_Mixed,7,1007,950,950,468.4751,468.4751,0,1,444.54,0.0538423988842397,875,510,168,172,170
rc_201.1,20,19,PSO_Mixed,8,1008,950,950,543.077,543.077,0,1,444.54,0.221660592972511,830,510,171,171,168
rc_201.1,20,19,PSO_Mixed,9,1009,950,950,4479.94510000001,525.9451,3.95400000000001,0,444.54,NaN,Inf,510,166,175,169
rc_201.1,20,19,PSO_Mixed,10,1010,950,950,457.9623,457.9623,0,1,444.54,0.0301936833580779,801,510,169,172,169
rc_201.3,32,31,RandomKeyPSO,1,1001,1550,1550,4031198.4977,1038.7977,4030.1597,0,790.61,NaN,Inf,0,0,0,0
rc_201.3,32,31,RandomKeyPSO,2,1002,1550,1550,8746764.3682,1089.0682,8745.6753,0,790.61,NaN,Inf,0,0,0,0
rc_201.3,32,31,RandomKeyPSO,3,1003,1550,1550,6253765.259,1020.559,6252.7447,0,790.61,NaN,Inf,0,0,0,0
